Sr. No.,Category,States/ UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank as per Rate of total cognizable crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,3255,12.1,788.5,4.1,3,4
2,State,Arunachal Pradesh,0,0,11.44,0,NA,NA
3,State,Assam,20,0.1,282.11,0.1,20,19
4,State,Bihar,2646,9.8,883.09,3,6,5
5,State,Chhattisgarh,698,2.6,221.54,3.2,5,11
6,State,Goa,0,0,14.65,0,NA,NA
7,State,Gujarat,1309,4.9,534.64,2.4,9,8
8,State,Haryana,217,0.8,224.2,1,16,13
9,State,Himachal Pradesh,89,0.3,63.16,1.4,14,17
10,State,Jammu & Kashmir,4,0,110.41,0,21,23
11,State,Jharkhand,126,0.5,284.49,0.4,19,16
12,State,Karnataka,1643,6.1,550.44,3,7,6
13,State,Kerala,438,1.6,329.82,1.3,15,12
14,State,Madhya Pradesh,4699,17.5,646.65,7.3,1,1
15,State,Maharashtra,715,2.7,1017.45,0.7,17,10
16,State,Manipur,0,0,25.09,0,NA,NA
17,State,Meghalaya,0,0,24.21,0,NA,NA
18,State,Mizoram,0,0,9.36,0,NA,NA
19,State,Nagaland,0,0,20.96,0,NA,NA
20,State,Orissa,1398,5.2,382.94,3.7,4,7
21,State,Punjab,134,0.5,254.43,0.5,18,15
22,State,Rajasthan,4360,16.2,605.11,7.2,2,2
23,State,Sikkim,16,0.1,5.68,2.8,8,20
24,State,Tamil Nadu,1156,4.3,642.3,1.8,12,9
25,State,Tripura,1,0,33.42,0,22,24
26,State,Uttar Pradesh,3785,14.1,1779.41,2.1,11,3
27,State,Uttarakhand,137,0.5,89.73,1.5,13,14
28,State,West Bengal,14,0.1,839.53,0,24,21
State,State,Total (States),26860,99.9,10674.76,2.5,NA,NA
29,Union Territory,A & N Islands,0,0,3.79,0,NA,NA
30,Union Territory,Chandigarh,0,0,9.76,0,NA,NA
31,Union Territory,D & N Haveli,0,0,2.38,0,NA,NA
32,Union Territory,Daman & Diu,0,0,1.71,0,NA,NA
33,Union Territory,Delhi,4,0,152.79,0,23,22
34,Union Territory,Lakshadweep,0,0,0.64,0,NA,NA
35,Union Territory,Puducherry,23,0.1,10.17,2.3,10,18
Union Territory,Union Territory,Total (UTs),27,0.1,181.24,0.1,NA,NA
Total (All-India),Total (All-India),Total (All-India),26887,100,10856,2.5,NA,NA
