Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 5 + Col. 6 + Col. 7) = (Col. 8),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate {(Col. 7)/ (Col. 6 + Col. 7)} × 100 = (Col. 10)
1,Murder,0,0,2.9,2.4,75.1,80.5,19.5,96.9
2,Rape,0,0,8.1,2.4,72.4,82.8,17.2,96.8
3,Kidnapping & Abduction,0,0,12.5,6.8,61.8,81.1,18.9,90.1
4,Dacoity,0,0,6.1,12.1,54.5,72.7,27.3,81.8
5,Robbery,0,0,11,8.5,54.9,74.4,25.6,86.5
6,Arson,0,0,11.7,6.6,54.6,72.9,27.1,89.2
7,Hurt,0.8,0.1,9.6,2.7,64,76.3,22.7,96
8,P.C.R. Act,0,0.4,10.4,44.4,34.3,89,10.6,43.6
9,SC/ ST Prev. of Atrocities Act,0,0.5,11.1,4.8,50.5,66.3,33.2,91.4
10,Other Crimes against SCs,0,0.3,14,2.8,64.7,81.5,18.2,95.9
11,Total,0.1,0.3,11.7,4.7,59.3,75.7,23.9,92.7
