Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,2163,91,728,1344,146,62.1,4.3
State,Arunachal Pradesh,54,0,1,53,0,98.1,0.2
State,Assam,43,0,24,19,2,44.2,0.1
State,Bihar,296,0,22,274,2,92.6,0.9
State,Chhattisgarh,4129,520,1556,2053,493,49.7,6.5
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4610,0,767,3843,16,83.4,12.3
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,36,0,2,34,0,94.4,0.1
State,Jammu & Kashmir,10,0,1,9,1,90,0
State,Jharkhand,689,6,291,392,15,56.9,1.3
State,Karnataka,2091,0,525,1566,3,74.9,5
State,Kerala,1197,0,127,1070,7,89.4,3.4
State,Madhya Pradesh,12009,165,2182,9662,618,80.5,30.8
State,Maharashtra,5013,1,654,4358,36,86.9,13.9
State,Manipur,1,0,0,1,0,100,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,456,0,440,16,279,3.5,0.1
State,Orissa,3302,0,937,2365,120,71.6,7.5
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,5070,77,1361,3632,426,71.6,11.6
State,Sikkim,9,0,5,4,0,44.4,0
State,Tamil Nadu,658,0,413,245,10,37.2,0.8
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,406,2,94,310,58,76.4,1
State,Uttarakhand,61,0,9,52,4,85.2,0.2
State,West Bengal,29,0,16,13,1,44.8,0
State,Total (States),42332,862,10155,31315,2237,74,99.9
Union Territory,A & N Islands,2,0,0,2,0,100,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,37,0,5,32,1,86.5,0.1
Union Territory,Daman & Diu,2,0,0,2,0,100,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,2,0,0,2,0,100,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),43,0,5,38,1,88.4,0.1
Total (All-India),Total (All-India),42375,862,10160,31353,2238,74,100
