Sr. No.,Category,States/ UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,566,10.2,788.5,0.7,8,4
2,State,Arunachal Pradesh,75,1.4,11.44,6.6,1,11
3,State,Assam,12,0.2,282.11,0,18,15
4,State,Bihar,45,0.8,883.09,0.1,17,12
5,State,Chhattisgarh,676,12.2,221.54,3.1,3,3
6,State,Goa,0,0,14.65,0,NA,NA
7,State,Gujarat,241,4.4,534.64,0.5,10,6
8,State,Haryana,0,0,224.2,0,NA,NA
9,State,Himachal Pradesh,11,0.2,63.16,0.2,16,16
10,State,Jammu & Kashmir,1,0,110.41,0,22,23
11,State,Jharkhand,123,2.2,284.49,0.4,11,9
12,State,Karnataka,173,3.1,550.44,0.3,12,8
13,State,Kerala,82,1.5,329.82,0.2,14,10
14,State,Madhya Pradesh,1667,30.1,646.65,2.6,4,1
15,State,Maharashtra,231,4.2,1017.45,0.2,15,7
16,State,Manipur,0,0,25.09,0,NA,NA
17,State,Meghalaya,0,0,24.21,0,NA,NA
18,State,Mizoram,0,0,9.36,0,NA,NA
19,State,Nagaland,0,0,20.96,0,NA,NA
20,State,Orissa,519,9.4,382.94,1.4,7,5
21,State,Punjab,0,0,254.43,0,NA,NA
22,State,Rajasthan,1031,18.6,605.11,1.7,5,2
23,State,Sikkim,32,0.6,5.68,5.6,2,13
24,State,Tamil Nadu,27,0.5,642.3,0,19,14
25,State,Tripura,0,0,33.42,0,NA,NA
26,State,Uttar Pradesh,5,0.1,1779.41,0,23,18
27,State,Uttarakhand,3,0.1,89.73,0,20,20
28,State,West Bengal,9,0.2,839.53,0,21,17
State,State,Total (States),5529,99.9,10674.76,0.5,NA,NA
29,Union Territory,A & N Islands,1,0,3.79,0.3,13,22
30,Union Territory,Chandigarh,0,0,9.76,0,NA,NA
31,Union Territory,D & N Haveli,4,0.1,2.38,1.7,6,19
32,Union Territory,Daman & Diu,1,0,1.71,0.6,9,21
33,Union Territory,Delhi,0,0,152.79,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.64,0,NA,NA
35,Union Territory,Puducherry,0,0,10.17,0,NA,NA
Union Territory,Union Territory,Total (UTs),6,0.1,181.24,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),5535,100,10856,0.5,NA,NA
