Sr. No.,Crime Head,2003,2004,Percentage Variation in 2004 over 2003,Percentage Share of Arrestees under each Crime during 2004
1,Murder,65996,66215,0.3,2.5
2,Attempt to Commit Murder,63862,67772,6.1,2.5
3,C.H. Not Amounting Murder,7708,7230,-6.2,0.3
4,Rape - Total,19994,22489,12.5,0.8
4,Rape - i) Custodial Rape,0,1,NA,NA
4,Rape - ii) Other Rape,19994,22488,12.5,0.8
5,Kidnapping & Abduction - Total,26541,31104,17.2,1.2
5,Kidnapping & Abduction - i) of Women & Girls,15643,19250,23.1,0.7
5,Kidnapping & Abduction - ii) of Others,10898,11854,8.8,0.4
6,Dacoity,18842,20051,6.4,0.8
7,Preparation & Assembly for Dacoity,10162,9878,-2.8,0.4
8,Robbery,26336,27690,5.1,1
9,Burglary,61397,64455,5,2.4
10,Theft - Total,159518,186005,16.6,7
10,Theft - i) Auto Theft,32194,37476,16.4,1.4
10,Theft - ii) Other Theft,127324,148529,16.7,5.6
11,Riots,324004,334539,3.3,12.6
12,Criminal Breach of Trust,15155,15558,2.7,0.6
13,Cheating,44873,48503,8.1,1.8
14,Counterfeiting,2326,2441,4.9,0.1
15,Arson,12142,11928,-1.8,0.4
16,Hurt,470453,489142,4,18.4
17,Dowry Deaths,16636,18119,8.9,0.7
18,Molestation,42444,43579,2.7,1.6
19,Sexual Harassment,15351,12771,-16.8,0.5
20,Cruelty by Husband and Relatives,110623,125657,13.6,4.7
21,Importation of Girls,55,68,23.6,0
22,Causing Death by Negligence,53315,61649,15.6,2.3
23,Other IPC Crimes,943159,994067,5.4,37.4
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,2510892,2660910,6,100
