Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 8) = (Col. 5 + Col. 6 + Col. 7),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate (Col. 10) = {(Col. 7)/ (Col. 6 + Col. 7)} × 100
1,Murder,0,0.1,2,10,48.5,60.5,39.4,83
2,Attempt to Commit Murder,0,0.1,2.8,7.8,57.7,68.4,31.5,88.1
3,C.H. Not Amounting to Murder,0,0,2.3,8.9,55.4,66.6,33.4,86.1
4,Rape - Total,0,0.1,4.8,3.8,60.5,69.1,30.8,94.2
4,Rape - Total i) Custodial Rape,0,0,0,50,0,50,50,0
4,Rape - Total ii) Other Rape,0,0.1,4.8,3.8,60.5,69.1,30.8,94.2
5,Kidnapping & Abduction - Total,0.1,0.3,12.8,11.7,34.9,59.4,40.3,74.9
5,Kidnapping & Abduction - i) of Women & Girls,0.1,0.3,13.7,11.5,37.3,62.5,37.1,76.4
5,Kidnapping & Abduction ii) of Others,0.1,0.3,11,12,30.3,53.4,46.3,71.7
6,Dacoity,0,0.1,2.4,13.6,30.4,46.4,53.5,69
7,Preparation & Assembly for Dacoity,0,0,0.2,3.3,59.6,63,37,94.8
8,Robbery,0,0.1,4,21.5,37.4,62.9,37,63.5
9,Burglary,0,0.3,2.4,43.6,27.8,73.8,25.9,39
10,Theft - Total,0,0.3,2.5,40.7,28.4,71.6,28.1,41.1
10,Theft - i) Auto Theft,0,0.2,2.1,48.7,21.1,71.8,28,30.3
10,Theft - ii) Other Theft,0,0.3,2.7,37.4,31.4,71.5,28.2,45.6
11,Riots,0,0.1,4.9,6.1,59,70,29.9,90.7
12,Criminal Breach of Trust,0,0.2,9.1,11.8,35.3,56.2,43.6,74.9
13,Cheating,0,1,14.2,10.7,31.3,56.3,42.7,74.4
14,Counterfeiting,0,0.9,0.8,29.9,17.5,48.2,50.9,37
15,Arson,0,0.3,8.9,20.8,43.3,73,26.7,67.5
16,Hurt,0,0.1,3.6,4,78.1,85.7,14.2,95.1
17,Dowry Death,0,0.2,3.8,3.6,60.5,67.9,31.9,94.3
18,Molestation,0,0.1,4.9,2.7,78.6,86.2,13.7,96.7
19,Sexual Harassment,0,0,2,1.4,86.7,90.1,9.8,98.4
20,Cruelty by Husband and Relatives,0,0.3,9,3.9,63.4,76.4,23.3,94.2
21,Importation of Girls,0,0,3.7,2.2,29.6,35.6,64.4,93
22,Causing Death by Negligence,0,0.1,2.5,13,65.8,81.3,18.5,83.5
23,Other IPC Crimes,0,0.2,4.6,7.1,68.7,80.3,19.5,90.7
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,0,0.2,4.5,14.5,57.2,76.2,23.6,79.8
