Sr. No.,Crime Head,2000,2001,2002,2003,2004,Note of 2004
1,Murder,2.1,2,2,1.9,1.8,NA
2,Attempt to Commit Murder,1.7,1.8,1.7,1.5,1.5,NA
3,C.H. Not Amounting to Murder,0.2,0.2,0.2,0.2,0.2,NA
4,Rape - Total,0.9,0.9,0.9,0.9,1,NA
4,Rape - i) Custodial Rape,NA,0,0,0,0,*
4,Rape - ii) Other Rape,NA,0.9,0.9,0.9,1,*
5,Kidnapping & Abduction - Total,1.3,1.3,1.2,1.2,1.3,NA
5,Kidnapping & Abduction - i) of Women & Girls,0.8,0.8,0.8,0.8,0.9,NA
5,Kidnapping & Abduction ii) of Others,0.4,0.4,0.4,0.4,0.4,NA
6,Dacoity,0.4,0.3,0.3,0.3,0.3,NA
7,Preparation & Assembly for Dacoity,0.1,0.1,0.1,0.1,0.1,NA
8,Robbery,1.2,1.1,1.1,1,1,NA
9,Burglary,6,5.7,5.4,5.4,5,NA
10,Theft - Total,14.6,14.3,13.9,14.3,14.9,NA
10,Theft - i) Auto Theft,3.3,3.6,3.7,4,4.4,NA
10,Theft - ii) Other Theft,11.3,10.7,10.2,10.3,10.5,NA
11,Riots,4.5,4.3,3.9,3.3,3.3,NA
12,Criminal Breach of Trust,0.8,0.8,0.8,0.8,0.8,NA
13,Cheating,2.4,2.5,2.6,2.8,2.8,NA
14,Counterfeiting,0.1,0.1,0.1,0.1,0.1,NA
15,Arson,0.6,0.6,0.7,0.5,0.5,NA
16,Hurt,13.6,15.3,14.9,15.2,15.1,NA
17,Dowry Death,0.4,0.4,0.4,0.4,0.4,NA
18,Molestation,1.9,1.9,1.9,1.9,1.9,NA
19,Sexual Harassment,0.6,0.6,0.6,0.7,0.5,NA
20,Cruelty by Husband and Relatives,2.6,2.8,2.8,3,3.2,NA
21,Importation of Girls,0,0,0,0,0,NA
22,Causing Death by Negligence,NA,3.2,3.6,3.5,3.8,*
23,Other IPC Crimes,44,39.6,41,40.8,40.4,NA
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,100,100,100,100,100,NA
