Sr. No.,Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose Cases Compounded or Withdrawn,No of Persons whose Trial Completed,No of Persons whose Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,517108,41384,147928,327796,49792,63.4,2.9
2,State,Arunachal Pradesh,18089,72,758,17259,451,95.4,0.2
3,State,Assam,166792,5433,39365,121994,6120,73.1,1.1
4,State,Bihar,1424832,9746,104138,1310948,12595,92,11.5
5,State,Chhattisgarh,253394,26086,49088,178220,18495,70.3,1.6
6,State,Goa,13718,150,2295,11273,443,82.2,0.1
7,State,Gujarat,1296673,9502,70161,1217010,10137,93.9,10.7
8,State,Haryana,280821,1290,58852,220679,19599,78.6,1.9
9,State,Himachal Pradesh,103456,3948,13906,85602,1823,82.7,0.7
10,State,Jammu & Kashmir,149935,4285,18652,126998,4726,84.7,1.1
11,State,Jharkhand,169623,3430,21797,144396,7575,85.1,1.3
12,State,Karnataka,450751,20807,105110,324834,21306,72.1,2.8
13,State,Kerala,655000,22965,108743,523292,35921,79.9,4.6
14,State,Madhya Pradesh,1474953,100027,201827,1173099,91258,79.5,10.3
15,State,Maharashtra,2329444,29040,146156,2154248,15002,92.5,18.9
16,State,Manipur,3171,16,134,3021,95,95.3,0
17,State,Meghalaya,10688,17,459,10212,186,95.5,0.1
18,State,Mizoram,2760,3,237,2520,205,91.3,0
19,State,Nagaland,5190,12,3195,1983,2933,38.2,0
20,State,Orissa,494791,389,61292,433110,9690,87.5,3.8
21,State,Punjab,124461,1457,25688,97316,9772,78.2,0.9
22,State,Rajasthan,989868,37222,156357,796289,92316,80.4,7
23,State,Sikkim,582,57,136,389,59,66.8,0
24,State,Tamil Nadu,521111,2852,200861,317398,116039,60.9,2.8
25,State,Tripura,6546,270,3112,3164,512,48.3,0
26,State,Uttar Pradesh,1147105,20530,184640,941935,106004,82.1,8.2
27,State,Uttarakhand,49872,627,8077,41168,5291,82.5,0.4
28,State,West Bengal,675355,1685,50928,622742,4032,92.2,5.5
State,State,Total (States),13336089,343302,1783892,11208895,642377,84,98.1
29,Union Territory,A & N Islands,5884,19,567,5298,273,90,0
30,Union Territory,Chandigarh,11702,0,1779,9923,895,84.8,0.1
31,Union Territory,D & N Haveli,3501,30,391,3080,21,88,0
32,Union Territory,Daman & Diu,1512,50,216,1246,13,82.4,0
33,Union Territory,Delhi,199046,0,12211,186835,5973,93.9,1.6
34,Union Territory,Lakshadweep,15,0,3,12,3,80,0
35,Union Territory,Puducherry,10709,179,5646,4884,4261,45.6,0
Union Territory,Union Territory,Total (UTs),232369,278,20813,211278,11439,90.9,1.9
Total (All-India),Total (All-India),Total (All-India),13568458,343580,1804705,11420173,653816,84.2,100
