Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,11091,284,4070,6737,699,60.7,3.5
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,68,0,48,20,2,29.4,0
State,Bihar,9498,46,1309,8143,171,85.7,4.2
State,Chhattisgarh,4938,746,1743,2449,558,49.6,1.3
State,Goa,4,0,2,2,0,50,0
State,Gujarat,19142,35,2508,16599,82,86.7,8.6
State,Haryana,1501,0,420,1081,69,72,0.6
State,Himachal Pradesh,787,28,70,689,8,87.5,0.4
State,Jammu & Kashmir,42,0,8,34,1,81,0
State,Jharkhand,582,26,246,310,32,53.3,0.2
State,Karnataka,19449,12,4846,14591,113,75,7.6
State,Kerala,4233,69,561,3603,20,85.1,1.9
State,Madhya Pradesh,38939,1209,8665,29065,2235,74.6,15.1
State,Maharashtra,19492,33,2897,16562,127,85,8.6
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,2,0,2,0,2,0,0
State,Orissa,9824,0,2089,7735,224,78.7,4
State,Punjab,595,0,129,466,19,78.3,0.2
State,Rajasthan,20546,271,5322,14953,1904,72.8,7.8
State,Sikkim,9,0,3,6,0,66.7,0
State,Tamil Nadu,9518,67,3485,5966,1112,62.7,3.1
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,76474,770,12660,63044,6047,82.4,32.7
State,Uttarakhand,829,3,162,664,88,80.1,0.3
State,West Bengal,24,0,18,6,0,25,0
State,Total (States),247587,3599,51263,192725,13513,77.8,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,5,0,2,3,0,60,0
Union Territory,D & N Haveli,2,0,0,2,0,100,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,101,0,20,81,5,80.2,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,184,13,47,124,15,67.4,0.1
Union Territory,Total (UTs),292,13,69,210,20,71.9,0.1
Total (All-India),Total (All-India),247879,3612,51332,192935,13533,77.8,100
