Sr. No.,Category,States/ UTs,Total No. of Cases Reported,Sex-wise/ Age Group-wise - Upto 10 Years - Male,Sex-wise/ Age Group-wise - Upto 10 Years - Female,Sex-wise/ Age Group-wise - 10 - 15 Years - Male,Sex-wise/ Age Group-wise - 10 - 15 Years - Female,Sex-wise/ Age Group-wise - 15 - 18 Years - Male,Sex-wise/ Age Group-wise - 15 - 18 Years - Female,Sex-wise/ Age Group-wise - 18 - 30 Years - Male,Sex-wise/ Age Group-wise - 18 - 30 Years - Female,Sex-wise/ Age Group-wise - 30 - 50 Years - Male,Sex-wise/ Age Group-wise - 30 - 50 Years - Female,Sex-wise/ Age Group-wise - Above 50 Years - Male,Sex-wise/ Age Group-wise - Above 50 Years - Female,Sex-wise/ Age Group-wise - Total - Male,Sex-wise/ Age Group-wise - Total - Female,Sex-wise/ Age Group-wise - Grand Total
1,State,Andhra Pradesh,1526,33,23,33,113,45,183,193,581,164,122,28,14,496,1036,1532
2,State,Arunachal Pradesh,65,0,0,0,8,0,0,18,33,6,0,0,0,24,41,65
3,State,Assam,1906,1,2,0,0,0,0,212,1284,138,266,3,0,354,1552,1906
4,State,Bihar,3413,5,0,14,4,7,0,1362,921,1042,23,35,0,2465,948,3413
5,State,Chhattisgarh,214,8,9,2,72,9,37,13,56,7,0,1,0,40,174,214
6,State,Goa,13,1,1,0,2,0,5,1,2,1,0,0,0,3,10,13
7,State,Gujarat,1133,8,15,10,101,12,193,121,583,62,33,1,4,214,929,1143
8,State,Haryana,423,3,0,0,0,11,28,85,258,28,6,4,0,131,292,423
9,State,Himachal Pradesh,123,4,1,0,5,2,14,8,76,8,7,0,0,22,103,125
10,State,Jammu & Kashmir,735,0,0,0,0,0,27,51,532,52,75,1,0,104,634,738
11,State,Jharkhand,468,1,2,1,2,1,1,67,96,37,30,0,0,107,131,238
12,State,Karnataka,592,14,12,3,12,1,13,101,252,114,53,22,6,255,348,603
13,State,Kerala,232,4,4,4,16,5,41,25,61,41,19,11,1,90,142,232
14,State,Madhya Pradesh,832,7,0,6,0,8,158,115,345,130,46,14,3,280,552,832
15,State,Maharashtra,1045,41,26,15,100,5,255,96,405,100,47,10,3,267,836,1103
16,State,Manipur,128,0,0,0,0,0,27,32,38,36,5,8,0,76,70,146
17,State,Meghalaya,54,3,1,4,4,7,7,9,8,12,0,0,0,35,20,55
18,State,Mizoram,15,0,0,0,0,0,0,9,2,1,0,0,3,10,5,15
19,State,Nagaland,23,0,0,0,0,0,0,13,0,12,0,0,0,25,0,25
20,State,Orissa,526,0,0,5,12,1,14,84,301,19,96,1,0,110,423,533
21,State,Punjab,463,6,5,3,10,8,23,96,287,34,11,2,0,149,336,485
22,State,Rajasthan,2384,5,3,8,22,10,80,310,1471,165,302,5,3,503,1881,2384
23,State,Sikkim,5,0,0,0,1,0,1,1,0,1,1,0,0,2,3,5
24,State,Tamil Nadu,870,5,3,0,14,0,71,102,594,60,21,6,2,173,705,878
25,State,Tripura,99,1,1,4,2,0,8,56,44,35,0,2,0,98,55,153
26,State,Uttar Pradesh,3337,27,6,65,98,100,439,541,1431,253,349,27,1,1013,2324,3337
27,State,Uttarakhand,213,0,1,1,6,4,23,53,75,28,22,0,0,86,127,213
28,State,West Bengal,1200,8,1,3,21,0,105,81,864,31,91,1,0,124,1082,1206
State,State,Total (States),22037,185,116,181,625,236,1753,3855,10600,2617,1625,182,40,7256,14759,22015
29,Union Territory,A & N Islands,3,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
30,Union Territory,Chandigarh,54,5,2,1,1,1,33,3,7,2,0,0,0,12,43,55
31,Union Territory,D & N Haveli,12,0,0,0,4,1,2,2,1,2,0,0,0,5,7,12
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
33,Union Territory,Delhi,1209,122,91,84,147,45,150,59,408,45,54,5,1,360,851,1211
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,10,0,0,0,0,0,4,0,4,1,0,1,0,2,8,10
Union Territory,Union Territory,Total (UTs),1290,127,94,85,153,47,191,66,420,50,54,6,1,381,913,1294
Total (All-India),Total (All-India),Total (All-India),23327,312,210,266,778,283,1944,3921,11020,2667,1679,188,41,7637,15672,23309
