Sr. No.,Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,1375,87,748,540,39.3,43.7
2,State,Arunachal Pradesh,48,4,31,13,27.1,1.1
3,State,Assam,39,8,22,9,23.1,0.7
4,State,Bihar,107,5,48,54,50.5,4.4
5,State,Chhattisgarh,1078,11,1046,21,1.9,1.7
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,466,0,455,11,2.4,0.9
8,State,Haryana,0,0,0,0,0,0
9,State,Himachal Pradesh,29,0,29,0,0,0
10,State,Jammu & Kashmir,2,0,2,0,0,0
11,State,Jharkhand,272,15,149,108,39.7,8.7
12,State,Karnataka,612,34,538,40,6.5,3.2
13,State,Kerala,233,13,105,115,49.4,9.3
14,State,Madhya Pradesh,3015,1,2873,141,4.7,11.4
15,State,Maharashtra,823,61,649,113,13.7,9.1
16,State,Manipur,4,0,0,4,100,0.3
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,205,0,205,0,0,0
20,State,Orissa,778,0,764,14,1.8,1.1
21,State,Punjab,0,0,0,0,0,0
22,State,Rajasthan,1321,0,1318,3,0.2,0.2
23,State,Sikkim,9,2,7,0,0,0
24,State,Tamil Nadu,91,12,45,34,37.4,2.8
25,State,Tripura,0,0,0,0,0,0
26,State,Uttar Pradesh,26,0,21,5,19.2,0.4
27,State,Uttarakhand,7,0,5,2,28.6,0.2
28,State,West Bengal,23,0,16,7,30.4,0.6
State,State,Total (States),10563,253,9076,1234,11.7,99.9
29,Union Territory,A & N Islands,1,0,1,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0
31,Union Territory,D & N Haveli,14,0,13,1,7.1,0.1
32,Union Territory,Daman & Diu,2,0,2,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),17,0,16,1,5.9,0.1
Total (All-India),Total (All-India),Total (All-India),10580,253,9092,1235,11.7,100
