Sr. No.,Crime Head,Number of Cases Reported during - 2003,Number of Cases Reported during - 2004,Percentage Change in 2004 over 2003
1,Arms Act,232,201,-13.4
2,Narcotic Drugs & Psychotropic Substances Act,62,54,-12.9
3,Gambling Act,863,989,14.6
4,Excise Act,508,480,-5.5
5,Prohibition Act,1117,566,-49.3
6,Explosive & Explosive Substances Act,9,8,-11.1
7,Immoral Traffic (P) Act,48,47,-2.1
8,Indian Railways Act,110,28,-74.5
9,Registration of Foreigners Act,68,24,-64.7
10,Protection of Civil Rights Act - Total,0,0,NA
10,Protection of Civil Rights Act - i) PCR Act for SCs,0,0,NA
10,Protection of Civil Rights Act - ii) PCR Act for STs,0,0,NA
11,Indian Passport Act,10,6,-40
12,Essential Commodities Act,9,6,-33.3
13,Terrorist & Disruptive Activities Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,2,5,150
16,Child Marriage Restraint Act,5,9,80
17,Indecent Representation of Women (P) Act,83,106,27.7
18,Copyrights Act,23,27,17.4
19,Sati Prevention Act,0,0,NA
20,SC/ ST (Prevention of Atrocities) Act - Total,19,47,147.4
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,17,35,105.9
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,2,12,500
21,Forest Act,7,1,-85.7
22,Other SLL Crimes,4692,3152,-32.8
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,7867,5756,-26.8
