Sr. No. (Col. 1),Crime Head (Col. 2),Total No. of Persons under Arrest Including those from Previous Year (Col. 3),No. of Persons whose - Cases Compounded or Withdrawn (Col. 4),No. of Persons whose - Trial Completed (Col. 5),No. of Persons whose - Trial Remained Pending (Col. 6),No. of Persons whose - No. of Persons Convicted (Col. 7),Percentage of Persons - whose Trials Remained Pending (Col. 6 × 100/ Col. 3) = (Col. 8),Percentage of Persons - Convicted to Trials Completed (Col. 7 × 100/ Col. 5) = (Col. 9),,
1,Murder,8693,10,1609,7074,659,81.4,41,,
2,Rape,6202,24,1482,4696,428,75.7,28.9,,
3,Kidnapping & Abduction,2428,2,581,1845,179,76,30.8,,
4,Dacoity,662,0,64,598,6,90.3,9.4,,
5,Robbery,856,0,223,633,53,73.9,23.8,,
6,Arson,2846,5,685,2156,203,75.8,29.6,,
7,Hurt,33939,638,7826,25475,2154,75.1,27.5,,
8,P.C.R. Act,7159,25,1172,5962,128,83.3,10.9,, 
9,SC/ ST Prev. of Atrocities Act,98977,664,18965,79348,4352,80.2,22.9,, 
10,Other Crimes against SCs,86117,2244,18725,65148,5371,75.7,28.7,, 
11,Total,247879,3612,51332,192935,13533,77.8,26.4,, 
