Sr. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Category of Complaints Received - Oral (Col.4),Category of Complaints Received - Written (Col.5),Category of Complaints Received - Distress call over Phone (Col.6),Category of Complaints Received - Complaints Initiated Suo Moto by Police (Col.7),Category of Complaints Received - Total Complaints (Col.8) = (Col.4 to Col.7),No. of Cases Registered under - IPC (Col.9),No. of Cases Registered under - SLL (Col.10),Total (Col.11) = (Col.9) + (Col.10)
1,State,Andhra Pradesh,59619,273702,25220,273218,631759,158756,452858,611614
2,State,Arunachal Pradesh,0,2339,0,18,2357,2256,101,2357
3,State,Assam,8,43169,0,485,43662,40675,2987,43662
4,State,Bihar,9054,97347,6494,4378,117273,108060,9213,117273
5,State,Chhattisgarh,74613,45500,376,64910,185399,41927,143472,185399
6,State,Goa,1041,629,19,5208,6897,2127,4770,6897
7,State,Gujarat,129660,77274,3129,63338,273401,105469,167644,273113
8,State,Haryana,1918,74859,35,7392,84204,39096,25167,64263
9,State,Himachal Pradesh,3971,11646,302,1110,17029,12326,4703,17029
10,State,Jammu & Kashmir,4148,12451,597,6633,23829,21191,2638,23829
11,State,Jharkhand,5483,12361,0,592,18436,31439,1729,33168
12,State,Karnataka,29205,86483,668,13462,129818,114440,15378,129818
13,State,Kerala,107906,124280,19272,56890,308348,104025,52110,156135
14,State,Madhya Pradesh,225284,132186,450,40065,397985,196867,201118,397985
15,State,Maharashtra,153497,365190,2875,222691,744253,176302,169317,345619
16,State,Manipur,35,1801,23,1128,2987,2535,452,2987
17,State,Meghalaya,31,1634,34,183,1882,1757,125,1882
18,State,Mizoram,0,2280,11,820,3111,1515,776,2291
19,State,Nagaland,25,1219,6,216,1466,984,482,1466
20,State,Orissa,1441,53085,25,7963,62514,48739,13775,62514
21,State,Punjab,1199,165491,222,1417,168329,25630,24294,49924
22,State,Rajasthan,17442,138115,3,30601,186161,154859,31302,186161
23,State,Sikkim,25,727,0,0,752,631,156,787
24,State,Tamil Nadu,53815,200754,11880,536368,802817,166606,636211,802817
25,State,Tripura,270,2695,0,226,3191,3081,110,3191
26,State,Uttar Pradesh,6924,253736,1491,725808,987959,130181,857586,987767
27,State,Uttarakhand,110,11038,830,62046,74024,8634,65390,74024
28,State,West Bengal,690642,169042,17464,845165,1722313,69350,1278298,1347648
State,State,Total (States),1577366,2361033,91426,2972331,7002156,1769458,4162162,5931620
29,Union Territory,A & N Islands,165,696,2,6915,7778,748,7028,7776
30,Union Territory,Chandigarh,0,9506,15394,15,24915,2889,1030,3919
31,Union Territory,D & N Haveli,388,46,0,0,434,409,25,434
32,Union Territory,Daman & Diu,128,63,0,20,211,198,10,208
33,Union Territory,Delhi,60933,142906,329285,46266,579390,53623,25136,78759
34,Union Territory,Lakshadweep,0,65,0,10,75,70,5,75
35,Union Territory,Pondicherry,2153,2435,0,1402,5990,4620,1370,5990
Union Territory,Union Territory,Total (UTs),63767,155717,344681,54628,618793,62557,34604,97161
Total (All-India),Total (All-India),Total (All-India),1641133,2516750,436107,3026959,7620949,1832015,4196766,6028781
