Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 5 + Col. 6 + Col. 7) = (Col. 8),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate {(Col. 7)/ (Col. 6 + Col. 7)} × 100 = (Col. 10)
1,Murder,0,0,1.6,8.7,63.1,73.4,26.6,87.8
2,Rape,0,0,3.6,1.8,76.9,82.2,17.8,97.7
3,Kidnapping & Abduction,0,0,11.6,6.3,64.2,82.1,17.9,91
4,Dacoity,0,0,3.9,54.9,41.2,100,0,42.9
5,Robbery,0,0,5.5,41.1,46.6,93.2,6.8,53.1
6,Arson,0,0,22.5,2.5,55,80,20,95.7
7,Hurt,0.1,0,10.4,2.3,70.8,83.6,16.3,96.8
8,P.C.R. Act,0,0,8.7,8.7,4.3,21.7,78.3,33.3
9,SC/ ST Prev. of Atrocities Act,0,0.1,13.3,1,58.1,72.3,27.6,98.4
10,Other Crimes against SCs,0.6,0.1,14.2,3,64.7,81.8,17.4,95.6
11,Total,0.3,0.1,11.8,3.4,64.5,79.7,19.9,95
