Sr. No.,Category,States/ UTs,2003,2004,Percentage Variation in 2004 over 2003,Percentage Contribution to All-India during 2004
1,State,Andhra Pradesh,204553,214763,5,8.1
2,State,Arunachal Pradesh,2446,2788,14,0.1
3,State,Assam,63979,66762,4.3,2.5
4,State,Bihar,199132,220666,10.8,8.3
5,State,Chhattisgarh,49923,56559,13.3,2.1
6,State,Goa,2740,2376,-13.3,0.1
7,State,Gujarat,141361,142866,1.1,5.4
8,State,Haryana,57406,54546,-5,2
9,State,Himachal Pradesh,18091,18168,0.4,0.7
10,State,Jammu & Kashmir,29183,28288,-3.1,1.1
11,State,Jharkhand,37709,37709,0,1.4
12,State,Karnataka,141444,139785,-1.2,5.3
13,State,Kerala,152429,152093,-0.2,5.7
14,State,Madhya Pradesh,303605,322078,6.1,12.1
15,State,Maharashtra,260231,269712,3.6,10.1
16,State,Manipur,1502,1566,4.3,0.1
17,State,Meghalaya,1604,1501,-6.4,0.1
18,State,Mizoram,3762,1424,-62.1,0.1
19,State,Nagaland,821,816,-0.6,0
20,State,Orissa,79481,77058,-3,2.9
21,State,Punjab,39705,36974,-6.9,1.4
22,State,Rajasthan,179807,194547,8.2,7.3
23,State,Sikkim,401,914,127.9,0
24,State,Tamil Nadu,198431,206002,3.8,7.7
25,State,Tripura,4754,4212,-11.4,0.2
26,State,Uttar Pradesh,160015,219313,37.1,8.2
27,State,Uttarakhand,12231,14618,19.5,0.5
28,State,West Bengal,112850,114528,1.5,4.3
State,State,Total (States),2459596,2602632,5.8,97.8
29,Union Territory,A & N Islands,853,828,-2.9,0
30,Union Territory,Chandigarh,2762,2451,-11.3,0.1
31,Union Territory,D & N Haveli,509,657,29.1,0
32,Union Territory,Daman & Diu,332,294,-11.4,0
33,Union Territory,Delhi,40855,47902,17.2,1.8
34,Union Territory,Lakshadweep,8,31,287.5,0
35,Union Territory,Puducherry,5977,6115,2.3,0.2
Union Territory,Union Territory,Total (UTs),51296,58278,13.6,2.2
Total (All-India),Total (All-India),Total (All-India),2510892,2660910,6,100
