Sr. No. (Col 1),Category (Col 2),States/ UTs (Col 3),No. of Police Personnel having Natural Death while in Service - 18-25 Years (Col 4),No. of Police Personnel having Natural Death while in Service - 25-35 Years (Col 5),No. of Police Personnel having Natural Death while in Service - 35-45 Years (Col 6),No. of Police Personnel having Natural Death while in Service - 45-55 Years (Col 7),No. of Police Personnel having Natural Death while in Service - Above 55 Years (Col 8),No. of Police Personnel having Natural Death while in Service - Total (Col 4 to Col 8) = (Col 9),No. of Police Personnel Committed Suicide while in Service - 18-25 Years (Col 10),No. of Police Personnel Committed Suicide while in Service - 25-35 Years (Col 11),No. of Police Personnel Committed Suicide while in Service - 35-45 Years (Col 12),No. of Police Personnel Committed Suicide while in Service - 45-55 Years (Col 13),No. of Police Personnel Committed Suicide while in Service - Above 55 Years (Col 14),No. of Police Personnel Committed Suicide while in Service - Total (Col 10 to Col 14) = Col 15
1,State,Andhra Pradesh,3,23,77,113,8,224,1,4,5,2,0,12
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,3,1,3,19,3,29,0,0,1,0,0,1
4,State,Bihar,0,10,40,37,6,93,0,0,1,0,0,1
5,State,Chhattisgarh,0,0,0,0,0,0,0,1,4,4,0,9
6,State,Goa,3,2,4,1,4,14,0,0,0,0,0,0
7,State,Gujarat,0,18,60,62,11,151,0,3,3,2,0,8
8,State,Haryana,0,4,21,27,3,55,0,0,0,0,0,0
9,State,Himachal Pradesh,0,1,5,5,3,14,0,0,0,0,2,2
10,State,Jammu & Kashmir,0,4,13,2,1,20,0,1,1,0,0,2
11,State,Jharkhand,2,6,11,11,1,31,0,0,0,0,0,0
12,State,Karnataka,2,18,46,81,14,161,0,3,2,4,0,9
13,State,Kerala,0,0,9,28,0,37,0,0,3,13,0,16
14,State,Madhya Pradesh,3,15,32,39,18,107,1,2,6,1,0,10
15,State,Maharashtra,0,38,158,155,35,386,3,8,9,6,3,29
16,State,Manipur,0,2,6,7,1,16,0,0,0,0,0,0
17,State,Meghalaya,0,6,9,6,3,24,0,0,0,0,0,0
18,State,Mizoram,0,1,2,1,0,4,0,0,0,0,0,0
19,State,Nagaland,1,0,5,1,1,8,0,0,0,0,0,0
20,State,Orissa,0,2,6,5,1,14,0,1,0,0,0,1
21,State,Punjab,0,29,63,45,8,145,0,0,1,0,0,1
22,State,Rajasthan,0,23,35,30,6,94,2,2,1,2,0,7
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,16,55,103,27,201,2,7,7,3,0,19
25,State,Tripura,0,1,5,10,6,22,0,2,0,0,0,2
26,State,Uttar Pradesh,1,8,16,19,11,55,1,3,4,1,4,13
27,State,Uttarakhand,1,2,9,2,1,15,0,0,0,0,0,0
28,State,West Bengal,0,13,31,46,52,142,0,0,1,0,0,1
State,State,Total (States),19,243,721,855,224,2062,10,37,49,38,9,143
29,Union Territory,A & N Islands,0,1,0,4,0,5,0,1,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,1,28,38,51,12,130,0,0,1,4,0,5
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,2,5,3,10,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),1,29,40,60,15,145,0,1,1,4,0,6
Total (All-India),Total (All-India),Total (All-India),20,272,761,915,239,2207,10,38,50,42,9,149
