Sr. No.,Purpose,Total No. of Cases Reported,Sex-wise/ Age Group-wise - Upto 10 Years - Male,Sex-wise/ Age Group-wise - Upto 10 Years - Female,Sex-wise/ Age Group-wise - 10 - 15 Years - Male,Sex-wise/ Age Group-wise - 10 - 15 Years - Female,Sex-wise/ Age Group-wise - 15 - 18 Years - Male,Sex-wise/ Age Group-wise - 15 - 18 Years - Female,Sex-wise/ Age Group-wise - 18 - 30 Years - Male,Sex-wise/ Age Group-wise - 18 - 30 Years - Female,Sex-wise/ Age Group-wise - 30 - 50 Years - Male,Sex-wise/ Age Group-wise - 30 - 50 Years - Female,Sex-wise/ Age Group-wise - Above 50 Years - Male,Sex-wise/ Age Group-wise - Above 50 Years - Female,Sex-wise/ Age Group-wise - Total - Male,Sex-wise/ Age Group-wise - Total - Female,Sex-wise/ Age Group-wise - Grand Total
1,For Adoption,55,6,6,0,0,0,3,22,15,3,0,0,0,31,24,55
2,For Begging,18,10,6,2,1,0,1,0,0,0,0,0,0,12,8,20
3,For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,For Illicit Intercourse,2067,2,12,2,104,5,289,47,1152,113,326,0,2,169,1885,2054
5,For Marriage,9794,1,5,1,356,16,1214,114,7263,18,783,0,1,150,9622,9772
6,For Prostitution,222,1,2,0,51,0,47,1,139,2,16,1,0,5,255,260
7,For Ransom,1140,61,11,60,4,52,5,451,64,376,33,34,0,1034,117,1151
8,For Revenge,713,17,10,24,7,43,10,338,44,177,19,26,1,625,91,716
9,For Sale,20,4,2,0,4,0,3,0,7,0,0,0,0,4,16,20
10,For Selling Body Parts,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,For Slavery,78,1,0,9,4,2,0,19,26,6,9,2,0,39,39,78
12,For Unlawaful Activity,649,5,4,10,13,11,49,269,75,176,18,22,0,493,159,652
13,Others,8570,203,152,158,234,154,323,2660,2235,1796,475,103,37,5074,3456,8530
14,Total,23327,312,210,266,778,283,1944,3921,11020,2667,1679,188,41,7637,15672,23309
