Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 5 + Col. 6 + Col. 7) = (Col. 8),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate {(Col. 7)/ (Col. 6 + Col. 7)} × 100 = (Col. 10)
1,Infanticide,0,0.9,1.8,48.6,34.9,85.3,13.8,41.8
2,Murder,0.1,0.4,2.1,9.9,69.5,81.5,18,87.5
3,Rape,0,0,1.1,2.2,75.6,78.8,21.1,97.2
4,Kid. & Abduction,0.3,0.2,9.9,10.8,56.4,77.1,22.4,83.9
5,Foeticide,0,0,0.9,45,25.2,71.2,28.8,35.9
6,Abetment of Suicide,0,0,2.7,5.4,59.5,67.6,32.4,91.7
7,Exposure and Abandonment,0,0,0.8,69.5,11.2,81.6,18.4,13.9
8,Procuration Minor Girl,0,0.4,11,9.8,53.7,74.5,25.1,84.6
9,Buying of Girls for Prost.,0,0,11.1,0,66.7,77.8,22.2,100
10,Selling of Girls for Prost,0,0,5.4,2.7,21.6,29.7,70.3,88.9
11,Child Marriage Restraint Act,0,0,3.8,1.9,78.1,83.8,16.2,97.6
12,Other Crime,0,0,1.3,3.9,85.9,91.2,8.8,95.6
13,Total,0.1,0.1,3.5,9.6,69.6,82.7,17.1,87.9
