Sr. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation was Completed - Charge Sheets were Submitted (Col. 8),No. of Cases in which - Investigation was Completed - Total {(Col. 6 + Col. 7 + Col. 8)} = (Col. 9),No. of Cases Pending Investigation (Col. 10)
1,Murder,252,0,0,4,22,159,185,67
2,Rape,676,0,0,24,12,520,556,120
3,Kidnapping & Abduction,95,0,0,11,6,61,78,17
4,Dacoity,51,0,0,2,28,21,51,0
5,Robbery,73,0,0,4,30,34,68,5
6,Arson,40,0,0,9,1,22,32,8
7,Hurt,894,1,0,93,21,633,747,146
8,P.C.R. Act,23,0,0,2,2,1,5,18
9,SC/ ST Prev. of Atrocities Act,1553,0,2,206,15,902,1123,428
10,Other Crimes against SCs,3217,20,4,457,96,2080,2633,560
11,Total,6874,21,6,812,233,4433,5478,1369
