Category,State/UT,Number of Deaths in Police Custody - During Hospitalisation/Treatment,Number of Deaths in Police Custody - Due to Accidents,Number of Deaths in Police Custody - By Mob Attact/Riot,Number of Deaths in Police Custody - By Other Criminals,Number of Deaths in Police Custody - By Suicide,Number of Deaths in Police Custody - While Escaping from Custody,Number of Deaths in Police Custody - Illness/Natural Death
State,Andhra Pradesh,15,0,0,0,2,2,1
State,Arunachal Pradesh,1,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,1,0,0
State,Goa,0,1,0,0,0,0,0
State,Gujarat,3,1,0,0,2,0,1
State,Haryana,1,0,0,0,0,0,2
State,Himachal Pradesh,0,0,0,0,0,1,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,1,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0
State,Maharashtra,4,0,0,0,10,0,4
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,1,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,1,0,0,3,0,0
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,2,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,1,1
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,4,0,0,0,0,1,4
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,11,1,1,0,3,0,0
State,Total (States),40,4,1,0,24,5,13
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,1,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,1,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,1,1,0,0,0
Total (All-India),Total (All-India),40,4,2,1,24,5,13
