Sl. No.,State/UT,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/Conducted,Number of - Judicial Enquiry Ordered/Conducted,Number of - Cases Regd. in Connection with Deaths,Number of - Policemen Chargesheeted,Number of - Policemen Convicted
State,Andhra Pradesh,5,5,2,2,2,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,1,1,1,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,7,0,1,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4,3,4,1,1,2,0
State,Haryana,1,0,0,0,1,1,0
State,Himachal Pradesh,1,0,1,0,1,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,3,3,3,0,0,0,0
State,Maharashtra,5,5,0,0,2,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,2,1,2,0,1,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,3,1
State,Punjab,1,0,1,0,0,0,0
State,Rajasthan,1,0,1,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,6,1,2,0,0,0,0
State,Total (States),37,19,18,3,8,6,1
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),37,19,18,3,8,6,1
