Category,States/UTs,Total No. of Persons under Trial including those from Previous Year,Total No. of Persons whose Cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1641,48,335,1258,93,76.7,4.4
State,Arunachal Pradesh,63,0,0,63,0,100,0.2
State,Assam,2,0,0,2,0,100,0
State,Bihar,133,0,28,105,13,78.9,0.4
State,Chhattisgarh,1996,3,316,1677,74,84,5.9
State,Goa,0,0,0,0,0,0,0
State,Gujarat,5121,4,543,4574,3,89.3,16.2
State,Haryana,29,0,4,25,2,86.2,0.1
State,Himachal Pradesh,125,0,8,117,0,93.6,0.4
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,583,18,81,484,9,83,1.7
State,Karnataka,1749,46,187,1516,0,86.7,5.4
State,Kerala,1166,10,125,1031,0,88.4,3.6
State,Madhya Pradesh,6987,167,1541,5279,416,75.6,18.6
State,Maharashtra,4854,76,557,4221,21,87,14.9
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,38,0,20,18,16,47.4,0.1
State,Nagaland,316,1,133,182,129,57.6,0.6
State,Orissa,1946,0,156,1790,19,92,6.3
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,7095,205,1746,5144,683,72.5,18.2
State,Sikkim,11,0,10,1,7,9.1,0
State,Tamil Nadu,113,0,17,96,17,85,0.3
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,927,13,288,626,156,67.5,2.2
State,Uttaranchal,104,0,14,90,8,86.5,0.3
State,West Bengal,0,0,0,0,0,0,0
State,Total (States),34999,591,6109,28299,1666,80.9,100
Union Territory,A & N Islands,2,0,0,2,0,100,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,8,0,0,8,0,100,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),10,0,0,10,0,100,0
Total (All-India),Total (All-India),35009,591,6109,28309,1666,80.9,100
