Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Trial including Pending Cases (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases Compounded or Withdrawn (Col.5),No. of Cases in which Trials were Completed - Convicted (Col.6),No. of Cases in which Trials were Completed - Acquitted or Discharged (Col.7),No. of Cases in which Trials were Completed - Total {(Col.6) + (Col.7)} = (Col.8),No. of Cases Pending Trial (Col.9),Pendency % age (Col.10),% age of Pendency to All India Total (Col.11),Convicted Rate ((Col.6)/ (Col.8)* 100) = (Col.12)
State,Andhra Pradesh,394,0,3,7,70,77,314,79.7,1.8,9.1
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,33,0,0,0,1,1,32,97,0.2,0
State,Bihar,54,0,0,2,13,15,39,72.2,0.2,13.3
State,Chhattisgarh,684,4,6,30,16,46,632,92.4,3.6,65.2
State,Goa,71,0,2,8,7,15,54,76.1,0.3,53.3
State,Gujarat,830,0,0,40,28,68,762,91.8,4.3,58.8
State,Haryana,324,0,0,6,22,28,296,91.4,1.7,21.4
State,Himachal Pradesh,162,0,0,8,34,42,120,74.1,0.7,19
State,Jammu & Kashmir,19,0,0,0,0,0,19,100,0.1,0
State,Jharkhand,51,0,0,1,5,6,45,88.2,0.3,16.7
State,Karnataka,63,0,0,0,2,2,61,96.8,0.3,0
State,Kerala,488,0,6,1,39,40,442,90.6,2.5,2.5
State,Madhya Pradesh,2065,0,157,136,268,404,1504,72.8,8.5,33.7
State,Maharashtra,3999,0,34,37,226,263,3702,92.6,20.8,14.1
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0
State,Orissa,156,0,0,1,8,9,147,94.2,0.8,11.1
State,Punjab,114,0,0,5,13,18,96,84.2,0.5,27.8
State,Rajasthan,250,0,0,11,18,29,221,88.4,1.2,37.9
State,Sikkim,7,0,0,2,1,3,4,57.1,0,66.7
State,Tamil Nadu,73,7,0,8,3,11,62,84.9,0.3,72.7
State,Tripura,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,10597,0,8,1164,795,1959,8630,81.4,48.6,59.4
State,Uttaranchal,98,0,0,2,6,8,90,91.8,0.5,25
State,West Bengal,144,0,18,7,23,30,96,66.7,0.5,23.3
State,Total (States),20676,11,234,1476,1598,3074,17368,84,97.7,48
Union Territory,A & N Islands,2,0,0,0,0,0,2,100,0,0
Union Territory,Chandigarh,108,0,0,10,10,20,88,81.5,0.5,50
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,436,0,0,42,90,132,304,69.7,1.7,31.8
Union Territory,Lakshadweep,2,0,0,0,0,0,2,100,0,0
Union Territory,Pondicherry,9,0,0,3,2,5,4,44.4,0,60
Union Territory,Total (UTs),557,0,0,55,102,157,400,71.8,2.3,35
Total (All-India),Total (All-India),21233,11,234,1531,1700,3231,17768,83.7,100,47.4
