Category,States/UTs,Motor Vehilces,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F./V.H.F.,Walkie Talkie,Other Wireless Equipments
State,Andhra Pradesh,2912,1149,146,1077,103,177,260,3516,2675,746,95
State,Arunachal Pradesh,465,108,22,22,94,30,189,1353,760,578,15
State,Assam,2519,371,1282,432,434,0,0,4910,4815,0,95
State,Bihar,2643,602,62,1377,130,59,413,3170,2057,672,441
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0
State,Goa,311,164,14,94,0,0,39,1234,459,194,581
State,Gujarat,4233,1799,166,1212,527,521,8,9208,5640,1623,1945
State,Haryana,1549,436,97,349,0,0,667,4808,3099,1679,30
State,Himachal Pradesh,395,171,40,119,0,0,65,1598,789,800,9
State,Jammu & Kashmir,2993,226,542,1313,517,298,97,3215,2085,1020,110
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,3618,1398,229,1317,53,48,573,7863,2770,3126,1967
State,Kerala,1839,191,122,1177,21,0,328,3965,2261,779,925
State,Madhya Pradesh,3972,1171,253,591,913,313,731,0,0,0,0
State,Maharashtra,4263,666,291,1908,711,687,0,6629,129,2542,3958
State,Manipur,892,63,28,127,13,176,485,4137,375,1097,2665
State,Meghalaya,564,33,24,129,93,122,163,980,450,500,30
State,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,338,44,9,136,27,37,85,134,61,47,26
State,Orissa,1691,455,50,784,174,53,175,1402,1003,223,176
State,Punjab,2174,771,94,406,343,70,490,6742,2568,3332,842
State,Rajasthan,2696,701,99,1199,465,232,0,8053,6464,1589,0
State,Sikkim,135,8,4,21,11,25,66,449,212,215,22
State,Tamil Nadu,7321,2541,340,2692,147,138,1463,11393,5750,5513,130
State,Tripura,913,70,26,235,206,106,270,2761,1510,1172,79
State,Uttar Pradesh,6327,1077,400,3176,345,1329,0,16650,11455,4776,419
State,Uttaranchal,574,57,40,94,88,87,208,1206,959,233,14
State,West Bengal,3531,1065,159,1431,469,156,251,4259,2610,1417,232
State,Total (States),58868,15337,4539,21418,5884,4664,7026,109635,60956,33873,14806
Union Territory,A & N Islands,90,38,8,3,33,8,0,109,32,0,77
Union Territory,Chandigarh,229,114,13,59,14,15,14,1230,377,840,13
Union Territory,D & N Haveli,27,11,1,11,0,4,0,101,70,31,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,3342,1758,254,792,0,0,538,18967,9868,0,9099
Union Territory,Lakshadweep,24,10,0,9,0,0,5,222,66,47,109
Union Territory,Pondicherry,267,135,8,39,28,2,55,642,397,245,0
Union Territory,Total (UTs),3979,2066,284,913,75,29,612,21271,10810,1163,9298
Total (All-India),Total (All-India),62847,17403,4823,22331,5959,4693,7638,130906,71766,35036,24104
