Category,State/UT,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/Conducted,Number of - Judicial Enquiry Ordered/Conducted,Number of - Cases Regd. in Connection with Deaths,Number of - Policemen Chargesheeted,Number of - Policemen Convicted
State,Andhra Pradesh,8,8,5,1,2,1,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,2,2,2,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,1,1,1,0,0,0,0
State,Goa,1,1,1,0,1,0,0
State,Gujarat,3,1,2,0,0,0,0
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,1,1,0,0,1,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,2,2,2,0,2,1,0
State,Maharashtra,9,9,2,0,1,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,4,0,4,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,1,1,1,0,1,0,0
State,Punjab,3,1,2,0,2,0,0
State,Rajasthan,2,0,2,0,1,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,5,5,5,0,5,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,1,1,0,0,1,0,0
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,9,4,4,1,0,0,0
State,Total (States),52,37,33,2,17,2,0
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,1,1,1,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),1,1,1,0,0,0,0
Total (All-India),Total (All-India),53,38,34,2,17,2,0
