Crime Head (Col. 1),Cases Withdrawn by Govt. (Col. 2),Percentage of Cases to Total Cases for Trial Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Total {(Col. 4) + (Col. 5)} = (Col. 6),Percentage of Cases to Total Cases for Trial Pending Trial (Col. 7),Conviction Rate {(Col. 4)/(Col. 6) * 100} = (Col. 8)
Arms Act,0,0.1,8.6,5.7,14.3,85.6,59.9
Narcotic Drugs & Psychotropic Substances Act,0,0.9,8.2,7.4,15.6,83.5,52.6
Gambling Act,0,0.4,30.5,5.3,35.7,63.8,85.3
Excise Act,0.4,0.2,18.4,8,26.3,73.5,69.6
Prohibition Act,0,1.1,9.8,7.8,17.7,81.2,55.7
Explosive & Explosive Substances Act,0,0.2,6.4,6.1,12.5,87.3,51.5
Immoral Traffic (P) Act,0,0,55.4,4.1,59.5,40.4,93.1
Indian Railways Act,0,0.3,60.9,0.9,61.8,37.9,98.5
Registration of Foreigners Act,0,0,13.5,7.2,20.7,79.2,65.3
Protection of Civil Rights Act - Total,0,0.8,5,15.4,20.4,78.8,24.5
Protection of Civil Rights Act - (i) PCR Act for SCs,0,0.9,5.3,16.2,21.5,77.6,24.7
Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,1.3,6.1,7.3,92.7,17.2
Indian Passport Act,0,0,15.9,19.7,35.7,64.3,44.7
Essential Commodities Act,0,0.9,2.3,9.2,11.5,87.6,19.9
Terrorist & Disruptive Activities Act,0,0,1.1,2.8,3.9,96.1,29.2
Antiquity & Art Treasure Act,0,2.1,1.1,13.7,14.7,83.2,7.1
Dowry Prohibition Act,0,2,5.1,12,17.1,80.9,29.9
Child Marriage Restraint Act,0,0,2.7,10,12.6,87.4,21.1
Indecent Representation of Women (P) Act,0,0.2,54.3,2.5,56.8,43,95.6
Copyrights Act,0,0.2,5.7,5.7,11.4,88.5,49.6
Sati Prevention Act,0,0,0,0,0,0,0
SC/ ST (Prevention of Atrocities) Act - Total,0.1,0.8,5.2,10.7,15.9,83.3,32.7
SC/ ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,0.1,0.7,5.4,10.1,15.5,83.8,34.7
SC/ ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,0,1,4,14.6,18.7,80.4,21.6
Forest Act,0,0.1,15.9,6.4,22.4,77.6,71.3
Other SLL Crimes,0,15.1,46.3,7.8,54.2,30.7,85.5
Total Cognizable Crimes under SLL,0,8,30.2,7.5,37.8,54.3,80
