Category,States/UTs,Total No. of Persons under Arrest including those from Previous Year,Number of Persons Released before Trial,Number of Persons Chargesheeted,Number of Persons under Investigation at the end of the Year,Pendency % age,% age of Pendency to All-India Total
State,Andhra Pradesh,8194,199,6239,1756,21.4,17.6
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,10,8,2,0,0,0
State,Bihar,3854,380,2150,1324,34.4,13.2
State,Chhattisgarh,1253,0,861,392,31.3,3.9
State,Goa,0,0,0,0,0,0
State,Gujarat,3186,15,3053,118,3.7,1.2
State,Haryana,494,3,464,27,5.5,0.3
State,Himachal Pradesh,198,0,176,22,11.1,0.2
State,Jammu & Kashmir,18,0,18,0,0,0
State,Jharkhand,297,23,191,83,27.9,0.8
State,Karnataka,5025,265,4157,603,12,6
State,Kerala,1603,21,1044,538,33.6,5.4
State,Madhya Pradesh,9757,1,9281,475,4.9,4.8
State,Maharashtra,2131,16,1910,205,9.6,2.1
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,1,0,1,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,2753,18,2642,93,3.4,0.9
State,Punjab,328,50,114,164,50,1.6
State,Rajasthan,5457,2,5333,122,2.2,1.2
State,Sikkim,2,1,1,0,0,0
State,Tamil Nadu,5556,704,4120,732,13.2,7.3
State,Tripura,2,0,2,0,0,0
State,Uttar Pradesh,26368,2245,20825,3298,12.5,33
State,Uttaranchal,323,20,268,35,10.8,0.4
State,West Bengal,34,3,28,3,8.8,0
State,Total (States),76844,3974,62880,9990,13,100
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,5,0,3,2,40,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,34,1,33,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,74,0,72,2,2.7,0
Union Territory,Total (UTs),113,1,108,4,3.5,0
Total (All-India),Total (All-India),76957,3975,62988,9994,13,100
