Crime Head,Year - 1991,Year - 1996,Year - 1997,Year - 1998,Year - 1999,Year - 2000,Quinquennial Average (1996-2000) (Q.A),2001@,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 1991,Percentage Change in 2001[(+) Increase/(-) Decrease] over - Q.A,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 2000,Note of Year - 1991,Note of Year - 1996,Note of Year - 1997,Note of Year - 1998,Note of Year - 1999,Note of Year - 2000,Note of Quinquennial Average (1996-2000) (Q.A)
Murder,348,270,316,253,250,267,271,531,52.6,95.8,98.9,NA,NA,NA,NA,NA,NA,NA
Attempt to Commit Murder,171,202,147,163,179,196,177,449,162.6,153.1,129.1,NA,NA,NA,NA,NA,NA,NA
C.H. not Amounting to Murder,24,21,25,22,21,27,23,34,41.7,46.6,25.9,NA,NA,NA,NA,NA,NA,NA
Rape - Total,189,157,163,199,159,198,175,399,111.1,127.7,101.5,NA,NA,NA,NA,NA,NA,NA
Rape - i) Custodial Rape,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,*,*,*,*,*,*,*
Rape - ii) Other Rape,NA,NA,NA,NA,NA,NA,NA,399,NA,NA,NA,*,*,*,*,*,*,*
Kidnapping & Abduction - Total,141,132,72,153,83,83,105,122,-13.5,16.6,47,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - i) of Women & Girls,133,43,48,134,66,54,69,79,-40.6,14.5,46.3,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - ii) of Others,8,89,24,19,17,29,36,43,437.5,20.8,48.3,NA,NA,NA,NA,NA,NA,NA
Dacoity,52,44,20,35,25,33,31,59,13.5,87.9,78.8,NA,NA,NA,NA,NA,NA,NA
Preparation & Assembly for Dacoity,9,0,1,2,2,7,2,51,466.7,2025,628.6,NA,NA,NA,NA,NA,NA,NA
Robbery,164,87,50,52,68,79,67,164,0,144,107.6,NA,NA,NA,NA,NA,NA,NA
Burglary,1553,1315,1162,1294,1344,1241,1271,1687,8.6,32.7,35.9,NA,NA,NA,NA,NA,NA,NA
Theft - Total,4638,2356,1975,2143,2172,2388,2207,3196,-31.1,44.8,33.8,NA,NA,NA,NA,NA,NA,NA
Theft - i) Auto Theft,NA,NA,NA,NA,158,256,NA,437,NA,NA,70.7,*,*,*,*,NA,NA,*
Theft - ii) Other Theft,NA,NA,NA,NA,2010,2132,NA,2759,NA,NA,29.4,*,*,*,*,NA,NA,*
Riots,1270,856,513,574,509,532,597,1228,-3.3,105.8,130.8,NA,NA,NA,NA,NA,NA,NA
Criminal Breach of Trust,21,18,16,19,13,24,18,59,181,227.8,145.8,NA,NA,NA,NA,NA,NA,NA
Cheating,47,60,43,32,31,37,41,83,76.6,104.4,124.3,NA,NA,NA,NA,NA,NA,NA
Counterfeiting,2,0,1,0,7,3,2,4,100,81.8,33.3,NA,NA,NA,NA,NA,NA,NA
Arson,NA,33,40,24,40,29,33,48,NA,44.6,65.5,*,NA,NA,NA,NA,NA,NA
Hurt,NA,1395,1242,1645,1472,1497,1450,3234,NA,123,116,*,NA,NA,NA,NA,NA,NA
Dowry Death,NA,42,49,77,52,78,60,50,NA,-16.1,-35.9,*,NA,NA,NA,NA,NA,NA
Molestation,NA,117,131,136,116,151,130,380,NA,191.9,151.7,*,NA,NA,NA,NA,NA,NA
Sexual Harassment,NA,13,25,37,27,41,29,105,NA,267.1,156.1,*,NA,NA,NA,NA,NA,NA
Cruelty by Husband and Relatives,NA,166,154,249,273,334,235,349,NA,48.4,4.5,*,NA,NA,NA,NA,NA,NA
Importation of Girls,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,*,*,*,*,NA,NA,*
Causing Death by Negligence,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,*,*,*,*,*,*,*
Other IPC Crimes,3959,2740,1764,2243,2045,2022,2163,4228,6.8,95.5,109.1,NA,NA,NA,NA,NA,NA,NA
Total Cognizable Crimes under IPC,12588,10024,7909,9352,8888,9267,9088,16509,31.1,81.7,78.1,NA,NA,NA,NA,NA,NA,NA
