Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Investigation in which Investigation was Refused (Col.3),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc. (Col.4),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Chargesheets were Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Total (Col. 7) = (Col.4 + Col.5 + Col.6),No. of Cases Pending Investigation (Col. 8),Charge Sheeting Rate {Col.6/ (Col.5 + Col.6)* 100} = (Col.9)
Murder,0,0,1.9,3.3,74.7,79.9,20.1,95.8
Rape,0.3,0.3,8.6,2.7,68.9,80.2,19.3,96.2
Kidnapping,0,0.2,15.8,7.4,61.2,84.4,15.4,89.2
Dacoity,0,0,17.4,8.7,52.2,78.3,21.7,85.7
Robbery,0,0,10.4,12.5,66,88.9,11.1,84.1
Arson,0,0.7,12.4,12.4,60.8,85.6,13.6,83.1
Hurt,0,0,8.1,3,70.8,81.9,18.1,95.9
PCR Act,0,0.2,21.5,5.1,54.7,81.3,18.5,91.5
SC/ST Prev. of Atrocities Act,0,0.3,17.7,5.9,58.4,82,17.7,90.8
Other Crime against SC,0,0.2,13.5,6,67,86.5,13.3,91.8
Total,0,0.2,14.3,5.5,63.8,83.5,16.3,92.1
