Category,States/UTs,Total No. of Persons under Arrest including those from Previous Year,Number of Persons Released before Trial,Number of Person Chargesheeted,Number of Persons under Investigation at the end of the Year,Pendency %age,%age of Pendency to All-India Total
State,Andhra Pradesh,357,7,214,136,38.1,5.9
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0
State,Bihar,146,16,98,32,21.9,1.4
State,Chhattisgarh,851,1,553,297,34.9,13
State,Goa,47,2,29,16,34,0.7
State,Gujarat,560,0,530,30,5.4,1.3
State,Haryana,403,0,385,18,4.5,0.8
State,Himachal Pradesh,108,9,84,15,13.9,0.7
State,Jammu & Kashmir,23,0,23,0,0,0
State,Jharkhand,53,0,53,0,0,0
State,Karnataka,50,1,48,1,2,0
State,Kerala,302,0,177,125,41.4,5.5
State,Madhya Pradesh,1603,0,1579,24,1.5,1
State,Maharashtra,1814,8,1634,172,9.5,7.5
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,69,1,67,1,1.4,0
State,Punjab,190,13,115,62,32.6,2.7
State,Rajasthan,253,6,247,0,0,0
State,Sikkim,12,0,6,6,50,0.3
State,Tamil Nadu,78,2,56,20,25.6,0.9
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,6909,451,5487,971,14.1,42.5
State,Uttaranchal,87,9,70,8,9.2,0.3
State,West Bengal,175,50,73,52,29.7,2.3
State,Total (States),14090,576,11528,1986,14.1,86.8
Union Territory,A & N Islands,1,0,1,0,0,0
Union Territory,Chandigarh,69,7,54,8,11.6,0.3
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,586,3,294,289,49.3,12.6
Union Territory,Lakshadweep,2,0,2,0,0,0
Union Territory,Pondicherry,10,0,6,4,40,0.2
Union Territory,Total (UTs),668,10,357,301,45.1,13.2
Total (All-India),Total (All-India),14758,586,11885,2287,15.5,100
