Category,States/ UTs,Persons in Custody or on Bail during the Stage of Investigation at the Beginning of the Year,Persons Arrested during the Year,Persons Released or Freed by Police or Magistrate before Trial for want of Evidence or any other Reason,Persons in Custody or on Bail during the Stage of Investigation at the end of the Year,Persons in whose Cases Chargesheets were Submitted during the Year,Persons under Trial at the Beginning of the Year,Total Number of Persons under Trial during the Year,Persons against whom Cases were Compounded or withdrawn,Persons in Custody or on Bail during the Stage of Trial at the end of the Year,Persons in whose Cases Trials were Completed during the Year,Persons Convicted,Persons Acquitted
State,Andhra Pradesh,3,0,0,0,3,15,18,0,16,2,0,2
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,4,4,0,3,1,0,1
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),3,0,0,0,3,19,22,0,19,3,0,3
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,5,5,0,5,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,5,5,0,5,0,0,0
Total (All-India),Total (All-India),3,0,0,0,3,24,27,0,24,3,0,3
