Category,States/UTs,Unidentified Bodies Recovered and Inquest Conducted
State,Andhra Pradesh,5290
State,Arunachal Pradesh,0
State,Assam,14
State,Bihar,1438
State,Chhattisgarh,114
State,Goa,181
State,Gujarat,1112
State,Haryana,470
State,Himachal Pradesh,74
State,Jammu & Kashmir,405
State,Jharkhand,200
State,Karnataka,2227
State,Kerala,183
State,Madhya Pradesh,509
State,Maharashtra,8230
State,Manipur,0
State,Meghalaya,15
State,Mizoram,0
State,Nagaland,3
State,Orissa,296
State,Punjab,1586
State,Rajasthan,699
State,Sikkim,0
State,Tamil Nadu,1145
State,Tripura,7
State,Uttar Pradesh,5310
State,Uttaranchal,169
State,West Bengal,3609
State,Total (States),33286
Union Territory,A & N Islands,0
Union Territory,Chandigarh,18
Union Territory,D & N Haveli,0
Union Territory,Daman & Diu,NA
Union Territory,Delhi,2072
Union Territory,Lakshadweep,0
Union Territory,Pondicherry,63
Union Territory,Total (UTs),2153
Total (All-India),Total (All-India),35439
