Category,States/UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,Andhra Pradesh,4,0,85,0,0,51,89,51,140
State,Arunachal Pradesh,0,0,1,0,0,0,1,0,1
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,1,0,6,0,3,0,10,0,10
State,Chhattisgarh,2,0,55,0,111,3,168,3,171
State,Goa,3,8,5,2,7,1,15,11,26
State,Gujarat,30,3,277,42,1265,137,1572,182,1754
State,Haryana,0,0,55,0,577,10,632,10,642
State,Himachal Pradesh,0,0,3,0,8,1,11,1,12
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,10,0,1,0,2,0,13,0,13
State,Karnataka,2,0,7,0,115,26,124,26,150
State,Kerala,0,0,4,0,1,0,5,0,5
State,Madhya Pradesh,613,0,1098,1,0,9,1711,10,1721
State,Maharashtra,14,10,93,15,706,19,813,44,857
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,1,0,1,0,1
State,Mizoram,0,0,2,3,5,8,7,11,18
State,Nagaland,0,0,5,0,0,0,5,0,5
State,Orissa,0,0,0,0,0,0,0,0,0
State,Punjab,2,0,2,0,1,0,5,0,5
State,Rajasthan,0,0,47,6,301,8,348,14,362
State,Sikkim,0,0,0,0,2,0,2,0,2
State,Tamil Nadu,1396,1,1956,5,474,97,3826,103,3929
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,5,0,30,0,70,1,105,1,106
State,Uttaranchal,0,0,2,0,34,16,36,16,52
State,West Bengal,0,0,2,0,0,0,2,0,2
State,Total (States),2082,22,3736,74,3683,387,9501,483,9984
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,5,0,0,0,5,0,5
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,42,0,42,0,42
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,5,0,42,0,47,0,47
Total (All-India),Total (All-India),2082,22,3741,74,3725,387,9548,483,10031
