Crime Head,Incidence - Year - 1991,Rate of Crime - Year - 1991,Incidence - Year - 1996,Rate of Crime - Year - 1996,Incidence - Year - 1997,Rate of Crime - Year - 1997,Incidence - Year - 1998,Rate of Crime - Year - 1998,Incidence - Year - 1999,Rate of Crime - Year - 1999,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Quinquennial Avg. 1996-2000 (Q.A),Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A),Incidence - 2001,Rate of Crime - 2001,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 1991,Percentage Change in 2001[(+) Increase/(-) Decrease] over - Q.A,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 2000,Note of - Incidence - Year - 1991,Note of - Rate of Crime - Year - 1991,Note of - Incidence - Year - 1996,Note of - Rate of Crime - Year - 1996,Note of - Incidence - Year - 1997,Note of - Rate of Crime - Year - 1997,Note of - Incidence - Year - 1998,Note of - Rate of Crime - Year - 1998,Note of - Incidence - Year - 1999,Note of - Rate of Crime - Year - 1999,Note of - Incidence - Year - 2000,Note of - Rate of Crime - Year - 2000,Note of - Incidence - Quinquennial Avg. 1996-2000 (Q.A),Note of - Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A)
Murder,39174,4.6,37671,4,37543,3.9,38584,4,37170,3.8,37399,3.7,37673,3.9,36202,3.5,-7.6,-3.9,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attempt to Commit Murder,29778,3.5,29597,3.2,29322,3.1,30577,3.1,29628,3,30743,3.1,29973,3.1,31523,3.1,5.9,5.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.H. not Amounting to Murder,4243,0.5,3728,0.4,3869,0.4,3681,0.4,3912,0.4,3773,0.4,3793,0.4,3367,0.3,-20.6,-11.2,-10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rape - Total,10410,1.2,14846,1.6,15330,1.6,15151,1.6,15468,1.6,16496,1.6,15458,1.6,16075,1.6,54.4,4,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rape - i) Custodial Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Rape - ii) Other Rape,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16075,1.6,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Kidnapping & Abduction - Total,20079,2.4,20848,2.2,21898,2.3,23520,2.4,23236,2.4,22871,2.3,22475,2.3,22487,2.2,12,0.1,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - i) of Women & Girls,14283,1.7,14877,1.6,15617,1.6,16351,1.7,15962,1.6,15023,1.5,15566,1.6,14645,1.4,2.5,-5.9,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - ii) of Others,5796,0.7,5971,0.6,6281,0.7,7169,0.7,7274,0.7,7848,0.8,6909,0.7,7842,0.8,35.3,13.5,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dacoity,10831,1.3,8035,0.9,7867,0.8,8091,0.8,7079,0.7,6825,0.7,7579,0.8,6154,0.6,-43.2,-18.8,-9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
