Category,States/UTs,Total No. of Persons under Trial including those from Previous Year,Total No. of Persons whose Cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending,No. of Persons Convicted,Pendency % age,% age of Pendency to All-India Total
State,Andhra Pradesh,11490,148,4346,6996,2583,60.9,3.7
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,2,0,0,2,0,100,0
State,Bihar,5091,40,1042,4009,307,78.7,2.1
State,Chhattisgarh,2192,5,119,2068,45,94.3,1.1
State,Goa,3,0,3,0,0,0,0
State,Gujarat,15558,27,1599,13932,57,89.5,7.3
State,Haryana,778,0,101,677,3,87,0.4
State,Himachal Pradesh,899,30,139,730,13,81.2,0.4
State,Jammu & Kashmir,18,1,1,16,0,88.9,0
State,Jharkhand,978,11,88,879,10,89.9,0.5
State,Karnataka,17978,338,2979,14661,32,81.5,7.7
State,Kerala,4185,58,548,3579,23,85.5,1.9
State,Madhya Pradesh,20714,622,5105,14987,1219,72.4,7.8
State,Maharashtra,19042,106,1714,17222,43,90.4,9
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,1,0,0,1,0,100,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,7255,2,596,6657,81,91.8,3.5
State,Punjab,291,2,45,244,8,83.8,0.1
State,Rajasthan,23313,466,4783,18064,1519,77.5,9.4
State,Sikkim,2,0,2,0,1,0,0
State,Tamil Nadu,11386,194,2880,8312,891,73,4.3
State,Tripura,2,0,1,1,1,50,0
State,Uttar Pradesh,92924,713,14763,77448,7405,83.3,40.5
State,Uttaranchal,879,12,185,682,71,77.6,0.4
State,West Bengal,28,0,1,27,0,96.4,0
State,Total (States),235009,2775,41040,191194,14312,81.4,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,4,0,0,4,0,100,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,87,0,4,83,0,95.4,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,178,0,48,130,19,73,0.1
Union Territory,Total (UTs),269,0,52,217,19,80.7,0.1
Total (All-India),Total (All-India),235278,2775,41092,191411,14331,81.4,100
