Category,States/UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11-20,Number of Police Stations (Sanctioned Strength) - 21-30,Number of Police Stations (Sanctioned Strength) - 31-40,Number of Police Stations (Sanctioned Strength) - 41-50,Number of Police Stations (Sanctioned Strength) - 51 and above
State,Andhra Pradesh,52,841,291,163,87,133
State,Arunachal Pradesh,0,52,15,0,0,0
State,Assam,20,54,67,52,22,12
State,Bihar,226,398,72,21,13,22
State,Chhattisgarh,13,103,186,34,6,60
State,Goa,0,0,1,1,10,12
State,Gujarat,1,10,59,75,106,212
State,Haryana,0,42,56,45,20,41
State,Himachal Pradesh,0,45,33,2,2,2
State,Jammu & Kashmir,0,8,23,27,35,76
State,Jharkhand,NA,NA,NA,NA,NA,NA
State,Karnataka,18,19,89,310,190,151
State,Kerala,1,7,5,321,60,44
State,Madhya Pradesh,11,447,213,98,41,104
State,Maharashtra,1,77,140,163,106,440
State,Manipur,1,37,9,4,2,2
State,Meghalaya,0,4,9,12,2,0
State,Mizoram,NA,NA,NA,NA,NA,NA
State,Nagaland,0,1,6,11,5,21
State,Orissa,123,255,36,14,14,5
State,Punjab,6,15,33,45,40,117
State,Rajasthan,0,295,225,134,28,27
State,Sikkim,0,13,10,1,1,1
State,Tamil Nadu,83,469,322,189,167,202
State,Tripura,0,5,15,17,5,6
State,Uttar Pradesh,51,247,437,288,180,240
State,Uttaranchal,2,30,22,13,5,22
State,West Bengal,1,158,139,74,19,59
State,Total (States),610,3632,2513,2114,1166,2011
Union Territory,A & N Islands,4,10,0,0,1,0
Union Territory,Chandigarh,0,0,0,0,0,11
Union Territory,D & N Haveli,2,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,2,0,1,1,119
Union Territory,Lakshadweep,0,1,4,3,0,1
Union Territory,Pondicherry,8,12,12,3,1,1
Union Territory,Total (UTs),14,25,16,7,3,132
Total (All-India),Total (All-India),624,3657,2529,2121,1169,2143
