Category,States/UTs,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ ASP/DY.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/DY.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,3,3,162,162,165,165
State,Bihar,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,2,4,72,28,74,32
State,Goa,0,0,0,0,0,0,0,40,0,40
State,Gujarat,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,6,0,133,0,139
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,4,0,876,0,880,0
State,Madhya Pradesh,0,0,0,0,14,14,128,118,142,132
State,Maharashtra,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,1,1,0,0,0,0,1,1
State,Orissa,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,10,10,2164,2164,2174,2174
State,Tripura,0,0,0,0,4,0,36,0,40,0
State,Uttar Pradesh,0,1,0,1,0,0,0,0,0,2
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),0,1,1,2,37,37,3438,2645,3476,2685
Union Territory,A & N Islands,0,0,0,0,0,1,0,23,0,24
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,1,2,51,85,52,87
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,1,3,51,108,52,111
Total (All-India),Total (All-India),0,1,1,2,38,40,3489,2753,3528,2796
