Crime Head,Incidence - Year - 1991,Rate of Crime - Year - 1991,Incidence - Year - 1996,Rate of Crime - Year - 1996,Incidence - Year - 1997,Rate of Crime - Year - 1997,Incidence - Year - 1998,Rate of Crime - Year - 1998,Incidence - Year - 1999,Rate of Crime - Year - 1999,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Quinquennial Avg. 1996-2000 (Q.A),Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A),Incidence - 2001,Rate of Crime - 2001,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 1991,Percentage Change in 2001[(+) Increase/(-) Decrease] over - Q.A,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 2000,Note of Incidence - Year - 1991,Note of Rate of Crime - Year - 1991,Note of Incidence - Year - 1996,Note of Rate of Crime - Year - 1996,Note of Incidence - Year - 1997,Note of Rate of Crime - Year - 1997,Note of Incidence - Year - 1998,Note of Rate of Crime - Year - 1998,Note of Incidence - Year - 1999,Note of Rate of Crime - Year - 1999,Note of Incidence - Year - 2000,Note of Rate of Crime - Year - 2000,Note of Incidence - Quinquennial Avg. 1996-2000 (Q.A),Note of Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A)
Arms Act,62025,7.3,67299,7.2,74109,7.8,63566,6.5,60607,6.1,60347,6,65186,6.7,59960,5.8,-3.3,-8,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narcotic Drugs & Psychotropic Substances Act,20944,2.5,20996,2.3,21527,2.3,18270,1.9,20132,2,22739,2.3,20733,2.2,24377,2.4,16.4,17.6,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambling Act,167113,19.7,126651,13.6,119107,12.5,112303,11.6,116516,11.8,140959,14.1,123107,12.7,151497,14.8,-9.3,23.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excise Act,95863,11.3,143210,15.4,169061,17.7,113102,11.6,106662,10.8,118811,11.9,130169,13.5,116247,11.3,21.3,-10.7,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prohibition Act,548237,64.8,617772,66.3,529703,55.5,540160,55.6,547386,55.5,537536,53.6,554511,57.3,509077,49.6,-7.1,-8.2,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Explosive & Explosive Substances Act,5458,0.6,5397,0.6,5140,0.5,4923,0.5,4399,0.4,4759,0.5,4924,0.5,4529,0.4,-17,-8,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immoral Traffic (P) Act,14639,1.7,7706,0.8,8323,0.9,8695,0.9,9363,0.9,9515,0.9,8720,0.9,8796,0.9,-39.9,0.9,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Railways Act,33720,4,37325,4,41469,4.3,40111,4.1,36099,3.7,44406,4.4,39882,4.1,64373,6.3,90.9,61.4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registration of Foreigners Act,3301,0.4,1287,0.1,1440,0.2,1230,0.1,1587,0.2,1434,0.1,1396,0.1,1438,0.1,-56.4,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protection of Civil Rights Act - Total,3835,0.5,1870,0.2,1460,0.2,1219,0.1,996,0.1,810,0.1,1271,0.1,691,0.1,-82,-45.6,-14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
