Crime Head,Total No. Persons under Arrest including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - No.,Persons Chargesheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
Murder - Total,1735,44,2.5,1425,82.1,266,15.3
Murder - (i) Infanticide,122,0,0,115,94.3,7,5.7
Murder - (ii) Other Murder,1613,44,2.7,1310,81.2,259,16.1
Rape,2890,64,2.2,2434,84.2,392,13.6
Kid. & Abduction,3668,216,5.9,2829,77.1,623,17
Foeticide,52,7,13.5,41,78.8,4,7.7
Abetment of Suicide,24,0,0,19,79.2,5,20.8
Exposure and Abandonment,183,5,2.7,163,89.1,15,8.2
Procuration of Minor Girl,214,17,7.9,141,65.9,56,26.2
Buying Girls for Prostitution,14,7,50,5,35.7,2,14.3
Selling Girls for Prostitution,16,3,18.8,11,68.8,2,12.5
Child Marriage Restraint Act,321,0,0,303,94.4,18,5.6
Other Crime,5641,223,4,4514,80,904,16
Total,14758,586,4,11885,80.5,2287,15.5
