Crime Head,2000,2001,Percentage Variation in 2001 Over 2000,Percentage Share of Arrestees under Each Crime during 2001
Murder,78178,75322,-3.7,2.8
Attempt to Commit Murder,74913,77839,3.9,2.9
C.H. not Amounting to Murder,6863,6595,-3.9,0.2
Rape - Total,20300,20446,0.7,0.8
Rape - i) Custodial Rape,NA,0,NA,NA
Rape - ii) Other Rape,NA,20446,NA,0.8
Kidnapping & Abduction - Total,29322,30885,5.3,1.2
Kidnapping & Abduction - i) of Women & Girls,17145,17819,3.9,0.7
Kidnapping & Abduction - ii) of Others,12177,13066,7.3,0.5
Dacoity,22876,24503,7.1,0.9
Preparation & Assembly for Dacoity,6844,7430,8.6,0.3
Robbery,28966,29523,1.9,1.1
Burglary,67965,66896,-1.6,2.5
Theft - Total,166867,162214,-2.8,6.1
Theft - i) Auto Theft,24973,30233,21.1,1.1
Theft - ii) Other Theft,141894,131981,-7,4.9
Riots,430593,398366,-7.5,14.9
Criminal Breach of Trust,14548,15651,7.6,0.6
Cheating,38990,42787,9.7,1.6
Counterfeiting,2136,1980,-7.3,0.1
Arson,14678,13734,-6.4,0.5
Hurt,455332,488586,7.3,18.3
Dowry Death,18455,20381,10.4,0.8
Molestation,41734,42244,1.2,1.6
Sexual Harassment,13662,12439,-9,0.5
Cruelty by Husband and Relatives,105547,109467,3.7,4.1
Importation of Girls,156,220,41,0
Causing Death by Negligence,NA,52706,NA,2
Other IPC Crimes,1036998,971326,-6.3,36.4
Total Cognizable Crimes Under IPC,2675923,2671540,-0.2,100
