Category,States/ UTs,Number of Cases in which Property was Stolen,Number of Cases in which Property was Recovered,Value of Property (Rs.in Lakhs) - Stolen,Value of Property (Rs.in Lakhs) - Recovered
State,Andhra Pradesh,42,23,5.3,4.1
State,Arunachal Pradesh,5,3,1.1,0.3
State,Assam,53,13,3.8,0.7
State,Bihar,152,35,13.6,6.4
State,Chhattisgarh,182,84,7.8,2.7
State,Goa,7,0,1.2,0
State,Gujarat,1,0,0,0
State,Haryana,21,15,3.9,2.8
State,Himachal Pradesh,37,13,6,2.1
State,Jammu & Kashmir,0,0,0,0
State,Jharkhand,82,16,6.7,0.7
State,Karnataka,546,143,109.9,29.3
State,Kerala,13,4,1.9,0.4
State,Madhya Pradesh,143,52,6.5,2.4
State,Maharashtra,23,9,3.7,2.8
State,Manipur,0,0,0,0
State,Meghalaya,0,0,0,0
State,Mizoram,1,1,0,0
State,Nagaland,0,0,0,0
State,Orissa,13,5,14.8,1.9
State,Punjab,0,0,0,0
State,Rajasthan,86,13,315.7,313.3
State,Sikkim,0,0,0,0
State,Tamil Nadu,347,261,88.4,39.8
State,Tripura,2,0,0.3,0
State,Uttar Pradesh,12,3,36.8,35.3
State,Uttaranchal,0,0,0,0
State,West Bengal,126,0,23.5,0
State,Total (States),1894,693,650.9,444.8
Union Territory,A & N Islands,0,0,0,0
Union Territory,Chandigarh,1,1,0.2,0.2
Union Territory,D & N Haveli,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0
Union Territory,Delhi,18,11,4.5,0.5
Union Territory,Lakshadweep,0,0,0,0
Union Territory,Pondicherry,0,0,0,0
Union Territory,Total (UTs),19,12,4.7,0.7
Total (All-India),Total (All-India),1913,705,655.6,445.6
