Category (Col.1),States/UTs (Col.2),Total No. of Cases for Trial Including Pending Cases (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases Compounded or Withdrawn (Col.5),No. of Cases in which Trials were Completed - Convicted (Col.6),No. of Cases in which Trials were Completed - Acquitted or Discharged (Col.7),No. of Cases in which Trials were Completed - Total {(Col.6) + (Col.7)} = (Col.8),No. of Cases Pending Trial (Col.9),Pendency % age (Col.10),% age of Pendency to All India Total (Col.11),Conviction Rate {(Col.6)/(Col.8)* 100} = (Col.12)
State,Andhra Pradesh,656,0,28,36,108,144,484,73.8,3.1,25
State,Arunachal Pradesh,64,0,0,0,0,0,64,100,0.4,0
State,Assam,2,0,0,0,0,0,2,100,0,0
State,Bihar,82,0,0,8,6,14,68,82.9,0.4,57.1
State,Chhattisgarh,1154,2,5,75,113,188,961,83.3,6.2,39.9
State,Goa,0,0,0,0,0,0,0,0,0,0
State,Gujarat,1930,0,8,4,283,287,1635,84.7,10.6,1.4
State,Haryana,2,0,0,0,0,0,2,100,0,0
State,Himachal Pradesh,2,0,0,0,0,0,2,100,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,459,0,15,5,25,30,414,90.2,2.7,16.7
State,Karnataka,956,0,1,1,53,54,901,94.2,5.8,1.9
State,Kerala,559,0,1,0,66,66,492,88,3.2,0
State,Madhya Pradesh,4091,10,102,249,622,871,3118,76.2,20.2,28.6
State,Maharashtra,2375,0,11,12,252,264,2100,88.4,13.6,4.5
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,12,0,0,2,1,3,9,75,0.1,66.7
State,Nagaland,614,1,1,104,36,140,473,77,3.1,74.3
State,Orissa,1479,0,0,10,100,110,1369,92.6,8.9,9.1
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,3820,0,98,255,604,859,2863,74.9,18.6,29.7
State,Sikkim,5,0,0,1,1,2,3,60,0,50
State,Tamil Nadu,13,0,0,0,0,0,13,100,0.1,0
State,Tripura,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,557,0,5,92,61,153,399,71.6,2.6,60.1
State,Uttaranchal,54,0,0,6,4,10,44,81.5,0.3,60
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),18886,13,275,860,2335,3195,15416,81.6,99.9,26.9
Union Territory,A & N Islands,2,0,0,0,0,0,2,100,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,8,0,0,0,0,0,8,100,0.1,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),10,0,0,0,0,0,10,100,0.1,0
Total (All-India),Total (All-India),18896,13,275,860,2335,3195,15426,81.6,100,26.9
