Category (Col. 1),States/UTs (Col. 2),Number of Police Stations - 0-60 Cases (Col. 3),Number of Police Stations - 61-100 Cases (Col. 4),Number of Police Stations - 101-200 Cases (Col. 5),Number of Police Stations - 201-300 Cases (Col. 6),Number of Police Stations - 301-400 Cases (Col. 7),Number of Police Stations - 401-500 Cases (Col. 8),Number of Police Stations - 501-1000 Cases (Col. 9),Number of Police Stations - 1001 and above (Col. 10),Number of Police Stations - Total (Col.3 to Col.10) = (Col. 11)
State,Andhra Pradesh,364,500,480,128,42,25,28,0,1567
State,Arunachal Pradesh,55,6,5,1,0,0,0,0,67
State,Assam,32,65,89,18,12,3,7,1,227
State,Bihar,210,152,239,107,29,10,5,0,752
State,Chhattisgarh,41,23,41,20,56,29,11,181,402
State,Goa,8,7,7,1,1,0,0,0,24
State,Gujarat,48,48,113,84,56,23,56,35,463
State,Haryana,1,14,55,52,32,20,28,2,204
State,Himachal Pradesh,8,9,36,16,8,2,5,0,84
State,Jammu & Kashmir,37,35,65,17,12,3,0,0,169
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,53,128,314,120,70,36,39,17,777
State,Kerala,24,19,82,93,76,58,79,7,438
State,Madhya Pradesh,87,116,323,192,93,43,44,16,914
State,Maharashtra,107,145,278,163,87,52,63,32,927
State,Manipur,35,8,6,4,1,1,0,0,55
State,Meghalaya,8,12,4,3,0,0,0,0,27
State,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,32,7,3,2,0,0,0,0,44
State,Orissa,77,115,178,58,15,3,1,0,447
State,Punjab,21,39,103,50,17,11,11,4,256
State,Rajasthan,22,54,218,174,118,57,66,0,709
State,Sikkim,20,2,4,0,0,0,0,0,26
State,Tamil Nadu,153,113,177,167,130,122,374,196,1432
State,Tripura,37,5,3,3,0,0,0,0,48
State,Uttar Pradesh,104,157,354,298,245,131,121,33,1443
State,Uttaranchal,23,11,21,14,5,5,9,6,94
State,West Bengal,70,79,141,72,45,36,7,0,450
State,Total (States),1677,1869,3339,1857,1150,670,954,530,12046
Union Territory,A & N Islands,1,3,4,2,2,2,0,1,15
Union Territory,Chandigarh,0,0,0,6,1,1,3,0,11
Union Territory,D & N Haveli,1,0,0,0,1,0,0,0,2
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,2,5,12,19,23,53,9,123
Union Territory,Lakshadweep,9,0,0,0,0,0,0,0,9
Union Territory,Pondicherry,7,2,14,7,5,0,2,0,37
Union Territory,Total (UTs),18,7,23,27,28,26,58,10,197
Total (All-India),Total (All-India),1695,1876,3362,1884,1178,696,1012,540,12243
