State,City,Murder,Attempt to Commit Murder,Culpable Homicide not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - Women & Girls,Kidnapping & Abduction - Others,Dacoity,Prepration & Assemly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
Andhra Pradesh,Hyderabad,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831
Andhra Pradesh,Vijayawada,53,44,5,25,0,25,70,48,22,3,0,27,491,2057,264,1793,19,34,614,10,17,1578,2,84,122,520,0,234,724,6733
Andhra Pradesh,Visakhapatnam,22,10,1,13,0,13,13,6,7,1,0,5,323,630,172,458,9,37,192,3,15,325,0,33,462,204,0,196,910,3404
Assam,Guwahati City,71,44,12,37,0,37,129,64,65,38,4,73,227,736,124,612,151,52,72,7,18,913,5,67,0,98,0,311,1308,4373
Bihar,Patna,194,279,26,17,0,17,120,7,113,52,19,340,324,1344,391,953,138,155,273,10,21,146,40,21,0,97,28,109,1864,5617
Chhattisgarh,Raipur,43,67,1,34,0,34,12,8,4,8,2,40,438,691,317,374,53,19,39,4,14,738,6,56,18,89,0,59,1586,4017
Gujarat,Ahmedabad,90,58,60,39,0,39,143,117,26,18,4,192,695,3588,1740,1848,191,140,205,13,2,1311,7,54,27,530,0,0,6129,13496
Gujarat,Bhavnagar,16,11,0,0,0,0,12,8,4,1,0,15,60,271,145,126,31,58,51,1,3,25,1,5,2,65,0,0,1236,1864
Gujarat,Rajkot,29,33,1,5,0,5,46,38,8,5,0,31,306,1245,530,715,110,56,71,1,9,628,3,19,12,199,0,82,1883,4774
Gujarat,Surat,98,19,2,11,0,11,57,37,20,26,5,59,353,1422,958,464,127,66,228,6,10,353,20,10,1,132,0,167,823,3995
Gujarat,Vadodara,34,14,0,3,0,3,35,32,3,4,0,39,244,997,449,548,151,104,182,3,7,365,0,11,10,90,0,153,2601,5047
Karnataka,Bangalore,221,327,5,40,0,40,152,56,96,31,25,284,2108,6293,2401,3892,298,258,1708,79,3,3735,40,223,51,229,0,38,11106,27254
Karnataka,Belgaum,9,14,0,2,0,2,6,2,4,9,0,29,118,204,94,110,69,7,41,1,1,104,0,8,0,4,0,0,151,777
Karnataka,Gulbarga,95,83,3,20,0,20,35,21,14,10,3,61,246,268,55,213,423,6,68,0,25,1148,6,143,0,104,0,0,1422,4169
Karnataka,Hubli Dharwad,16,24,0,4,0,4,8,4,4,5,0,34,159,245,99,146,168,8,56,0,7,191,2,3,0,24,0,4,944,1902
Karnataka,Mysore,32,34,0,2,0,2,11,7,4,0,0,32,109,326,140,186,67,17,52,1,0,360,9,8,1,48,0,103,691,1903
Kerala,Kochi,20,32,3,10,0,10,9,1,8,17,0,52,295,496,167,329,174,12,174,3,4,555,0,44,3,62,0,2,4100,6067
Kerala,Kozhikode,9,8,2,11,0,11,5,3,2,1,0,8,232,274,107,167,260,19,176,2,16,507,1,42,3,106,0,0,2063,3745
Kerala,Thiruvananthapuram,9,37,3,12,0,12,23,9,14,15,11,66,333,380,153,227,299,23,268,7,15,881,1,125,1,67,0,0,2105,4681
Madhya Pradesh,Bhopal,49,86,0,75,0,75,49,45,4,7,6,92,798,1267,419,848,62,33,187,0,6,570,12,200,52,123,0,234,6872,10780
Madhya Pradesh,Gwalior,43,102,5,36,0,36,19,13,6,0,3,95,777,750,299,451,105,21,70,0,10,642,12,72,5,38,0,121,1815,4741
Madhya Pradesh,Indore,78,94,0,50,0,50,47,33,14,2,8,88,758,2401,1298,1103,89,38,131,1,20,972,21,141,45,100,0,157,5022,10263
Madhya Pradesh,Jabalpur,56,124,28,64,0,64,22,15,7,0,2,108,439,685,215,470,60,5,40,0,11,1595,12,33,37,39,0,73,2303,5736
Maharashtra,Amravati,44,29,3,23,0,23,27,23,4,10,0,48,259,812,163,649,95,10,41,2,15,429,10,43,26,55,0,60,796,2837
Maharashtra,Aurangabad,36,27,0,14,0,14,19,14,5,3,2,40,239,503,179,324,130,26,108,1,3,371,4,33,12,102,0,109,569,2351
Maharashtra,Mumbai,295,200,6,127,0,127,148,12,136,61,80,406,2863,11564,3095,8469,196,393,1270,170,6,3845,18,274,44,198,0,709,6095,28968
Maharashtra,Nagpur,112,70,2,39,0,39,64,51,13,14,55,171,1388,2666,797,1869,235,74,263,11,15,1078,7,75,56,218,0,223,3076,9912
Maharashtra,Nasik,25,14,2,9,0,9,14,9,5,7,1,16,263,529,188,341,139,18,61,0,19,245,3,19,2,99,0,138,572,2195
Maharashtra,Navi Mumbai,34,18,0,17,0,17,19,7,12,15,16,62,375,893,318,575,80,88,148,6,3,354,5,23,5,57,0,228,617,3063
Maharashtra,Pune,71,44,3,56,0,56,46,28,18,14,13,98,840,2508,1277,1231,903,84,347,5,16,1004,2,54,105,147,1,300,2275,8936
Maharashtra,Solapur,30,14,1,16,0,16,15,11,4,7,1,32,165,306,98,208,70,7,49,3,3,230,6,15,4,62,0,82,449,1567
Maharashtra,Thane,133,81,3,39,0,39,62,37,25,27,52,146,1022,1774,644,1130,223,76,477,7,4,1285,6,69,43,212,0,251,624,6616
Punjab,Amritsar,26,32,6,7,0,7,31,23,8,0,3,6,145,131,68,63,1,21,85,2,6,147,7,9,0,72,0,61,264,1062
Punjab,Jalandhar,21,28,0,7,0,7,28,17,11,0,6,2,132,201,117,84,0,12,141,5,4,150,7,8,1,46,0,72,483,1354
