Category,States/UTs,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Subs. Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - For SCs,SC/ST (Prev.) of Atrocities Act - For STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,2,0,6,7,37,0,36,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,37,140
State,Arunachal Pradesh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
State,Chhattisgarh,7,9,96,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,171
State,Goa,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26
State,Gujarat,0,0,262,0,812,0,16,18,0,0,0,0,1,0,0,0,0,2,0,7,0,4,4,0,0,632,1754
State,Haryana,33,25,135,409,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,642
State,Himachal Pradesh,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,12
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,13
State,Karnataka,0,1,30,3,0,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,21,2,4,64,150
State,Kerala,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
State,Madhya Pradesh,101,6,503,157,0,0,5,60,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,3,1,883,1721
State,Maharashtra,26,2,278,0,372,0,2,8,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,154,857
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Mizoram,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,18
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5
State,Rajasthan,28,0,142,73,0,1,10,1,0,0,0,0,0,1,0,0,0,0,0,6,0,18,15,3,3,79,362
State,Sikkim,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
State,Tamil Nadu,0,2,29,0,90,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3747,3929
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,9,4,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,106
