Category,States/UTs/Cities,IT act - 2004,IT act - 2005,IT act - Variation,IPC Section - 2004,IPC Section - 2005,IPC Section - Variation
State,Andhra Pradesh,8,14,75,93,68,-26.9
State,Arunachal Pradesh,0,0,NA,0,0,NA
State,Assam,0,1,NA,0,0,NA
State,Bihar,0,0,NA,0,0,NA
State,Chhattisgarh,0,18,NA,0,28,NA
State,Goa,0,0,NA,0,0,NA
State,Gujarat,2,2,0,124,153,23.4
State,Haryana,0,8,NA,0,1,NA
State,Himachal Pradesh,0,0,NA,0,0,NA
State,Jammu & Kashmir,1,0,-100,0,0,NA
State,Jharkhand,0,0,NA,0,0,NA
State,Karnataka,14,38,171.4,0,0,NA
State,Kerala,2,3,50,0,0,NA
State,Madhya Pradesh,0,0,NA,0,0,NA
State,Maharashtra,17,26,52.9,4,1,-75
State,Manipur,0,0,NA,0,0,NA
State,Meghalaya,0,0,NA,0,0,NA
State,Mizoram,0,0,NA,0,0,NA
State,Nagaland,0,0,NA,0,0,NA
State,Orissa,1,6,500,0,0,NA
State,Punjab,2,7,250,4,43,975
State,Rajasthan,0,18,NA,0,0,NA
State,Sikkim,0,0,NA,0,0,NA
State,Tamil Nadu,14,22,57.1,36,0,-100
State,Tripura,0,0,NA,0,0,NA
State,Uttar Pradesh,2,4,100,3,0,-100
State,Uttaranchal,0,0,NA,0,0,NA
State,West Bengal,0,0,NA,0,0,NA
State,Total (States),63,167,165.1,264,294,11.4
Union Territory,A & N Islands,0,0,NA,5,0,-100
Union Territory,Chandigarh,1,2,100,0,0,NA
Union Territory,D & N Haveli,0,0,NA,0,0,NA
Union Territory,Daman & Diu,0,0,NA,0,0,NA
Union Territory,Delhi,4,10,150,10,8,-20
Union Territory,Lakshadweep,0,0,NA,0,0,NA
Union Territory,Pondicherry,0,0,NA,0,0,NA
Union Territory,Total (UTs),5,12,140,15,8,-46.7
Total (All-India),Total (All-India),68,179,163.2,279,302,8.2
City,Agra,2,1,-50,0,0,NA
City,Ahmedabad,0,2,NA,0,7,NA
City,Allahabad,0,0,NA,0,0,NA
City,Amritsar,1,0,-100,0,0,NA
City,Asansol,0,0,NA,0,0,NA
City,Bangalore,14,38,171.4,0,0,NA
City,Bhopal,0,0,NA,0,0,NA
City,Chennai,10,20,100,0,0,NA
City,Coimbatore,0,0,NA,0,0,NA
City,Delhi (city),4,10,150,10,8,-20
City,Dhanbad,0,0,NA,0,0,NA
City,Faridabad,0,3,NA,0,0,NA
City,Hyderabad,NA,0,NA,NA,0,NA
City,Indore,0,0,NA,0,0,NA
City,Jabalpur,0,0,NA,0,0,NA
City,Jaipur,0,0,NA,0,0,NA
City,Jamshedpur,0,0,NA,0,0,NA
City,Kanpur,0,0,NA,0,0,NA
City,Kochi,2,0,-100,0,0,NA
City,Kolkata,0,0,NA,0,0,NA
City,Lucknow,0,0,NA,0,0,NA
City,Ludhiana,NA,0,NA,NA,0,NA
City,Madurai,2,0,-100,0,0,NA
City,Meerut,0,0,NA,3,0,-100
City,Mumbai,6,7,16.7,4,1,-75
City,Nagpur,0,3,NA,1,0,-100
City,Nasik,0,0,NA,0,0,NA
City,Patna,0,0,NA,0,0,NA
City,Pune,6,9,50,0,0,NA
City,Rajkot,0,0,NA,0,0,NA
City,Surat,0,0,NA,8,146,1725
City,Vadodara,0,0,NA,0,0,NA
City,Varanasi,0,0,NA,0,0,NA
City,Vijayawada,0,1,NA,0,1,NA
City,Vishakhapatnam,0,0,NA,0,0,NA
City,Total (cities),47,94,100,26,163,526.9
