Category,States/UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (in Lakhs) #,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
State,Andhra Pradesh,515,9,798.09,0.6,10,4
State,Arunachal Pradesh,54,0.9,11.59,4.7,1,13
State,Assam,216,3.8,286.92,0.8,9,9
State,Bihar,82,1.4,898.2,0.1,18,12
State,Chhattisgarh,497,8.7,225.82,2.2,4,5
State,Goa,1,0,15.07,0.1,19,22
State,Gujarat,237,4.1,542.74,0.4,12,7
State,Haryana,0,0,227.92,0,NA,NA
State,Himachal Pradesh,10,0.2,63.81,0.2,17,18
State,Jammu & Kashmir,0,0,113.71,0,NA,NA
State,Jharkhand,483,8.5,288.85,1.7,5,6
State,Karnataka,161,2.8,557.02,0.3,14,10
State,Kerala,82,1.4,333.38,0.2,15,11
State,Madhya Pradesh,1615,28.3,659.52,2.4,3,1
State,Maharashtra,224,3.9,1031.59,0.2,16,8
State,Manipur,0,0,25.39,0,NA,NA
State,Meghalaya,0,0,24.52,0,NA,NA
State,Mizoram,0,0,9.47,0,NA,NA
State,Nagaland,0,0,21.17,0,NA,NA
State,Orissa,602,10.5,387.53,1.6,6,3
State,Punjab,0,0,257.64,0,NA,NA
State,Rajasthan,863,15.1,616.68,1.4,7,2
State,Sikkim,22,0.4,5.75,3.8,2,14
State,Tamil Nadu,13,0.2,648.56,0,20,15
State,Tripura,12,0.2,33.9,0.4,13,17
State,Uttar Pradesh,6,0.1,1814.88,0,24,19
State,Uttaranchal,1,0,91.19,0,22,24
State,West Bengal,12,0.2,850.55,0,21,16
State,Total (States),5708,99.9,10841.46,0.5,NA,NA
Union Territory,A & N Islands,2,0,3.88,0.5,11,21
Union Territory,Chandigarh,0,0,9.98,0,NA,NA
Union Territory,D & N Haveli,2,0,2.44,0.8,8,20
Union Territory,Daman & Diu,0,0,1.75,0,NA,NA
Union Territory,Delhi,1,0,157.43,0,23,23
Union Territory,Lakshadweep,0,0,0.65,0,NA,NA
Union Territory,Pondicherry,0,0,10.32,0,NA,NA
Union Territory,Total (UTs),5,0.1,186.45,0,NA,NA
Total (All-India),Total (All-India),5713,100,11027.9,0.5,NA,NA
