Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),No. of cases Compounded or Withdrawn (Col.3),No. of cases in which trials were completed - Convicted (Col.4),No. of cases in which trials were completed - Acquitted or Discharged (Col.5),No. of cases in which trials were completed - Total (Col.6) = {(Col.5) + (Col.6)},No. of cases in which trials were completed - Pending Trial at the end of the year (Col.7),Conviction Rate (Col.8) = (Col.5 /Col.7 × 100)
Murder,0,0,7.5,13,20.4,79.6,36.5
Rape,0,0.4,5.3,17.3,22.6,77.1,23.4
Kidnapping & Abduction,0,0.8,5.2,15.9,21.1,78.1,24.5
Dacoity,0,0,0,7.4,7.4,92.6,0
Robbery,0,2.1,3.2,13.7,16.8,81.1,18.8
Arson,0,0,2.4,16.5,18.9,81.1,12.9
Hurt,0,3.3,5.2,15.5,20.7,75.9,25
P.C.R. Act,0,0,1.5,4.4,5.9,94.1,25
SC/ST Prev. of Atrocities Act,0.4,0.7,4.1,16.1,20.2,79.1,20.4
Other Crime Against STs,0,1.7,5.6,15.5,21.2,77.1,26.6
Total,0.1,1.4,5.1,15.7,20.7,77.9,24.4
