Category (Col.1),States/UTs (Col.2),Investigation Stage - Cases pending investigation from previous year (Col.3),Investigation Stage - Cases reported during the year (Col.4),Investigation Stage - Cases withdrawn by govt. during investigation (Col.5),Investigation Stage - Cases not Investigated or in which investigation was refused (Col.6),Investigation Stage - Cases declared false on Account of mistake of Fact or Law (Col.7),Investigation Stage - Cases in which Chargesheets were Submitted (Col.8),Investigation Stage - Cases in which Chargesheets were not laid but final Report Submitted during the year (Col.9),Investigation Stage - Total True Cases (Col.10) = (Col.8 + 9),Investigation Stage - Cases Pending Investigation at the end of the year (Col.11),Trial Stage - Cases pending trial from previous year (Col.12),Trial Stage - Cases sent for trial during the year (Col.13),Trial Stage - Cases withdrawn by govt. during trial (Col.14),Trial Stage - Total cases for trial during the year (Col.15),Trial Stage - Cases compounded or withdrawn (Col.16),Trial Stage - Cases in which trials were completed (Col.17),Trial Stage - Cases convicted (Col.18),Trial Stage - Cases acquitted or discharged (Col.19),Trial Stage - Cases pending trial at the end of the year (Col.20)
State,Andhra Pradesh,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,5,0,0,0,2,1,3,2,0,2,0,2,0,0,0,0,2
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),1,7,0,0,0,3,2,5,3,0,3,0,3,0,0,0,0,3
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Total (All-India),1,7,0,0,0,3,2,5,3,0,3,0,3,0,0,0,0,3
