Category,States/ UTs,DG/ Addl.DG/IG/DIG - Sanctioned,DG/ Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,3,3,162,162,165,165
State,Bihar,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,3,0,0,3,3,3
State,Goa,0,0,0,0,0,0,12,8,12,8
State,Gujarat,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,6,6,109,6,115
State,Jammu & Kashmir,0,0,0,3,0,25,0,648,0,676
State,Jharkhand,0,0,0,0,0,0,0,13,0,13
State,Karnataka,0,0,2,1,63,16,1202,403,1267,420
State,Kerala,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,1,1,0,0,0,0,1,1
State,Orissa,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,2,0,32,0,144,0,178,0
State,Tamil Nadu,0,0,1,1,38,38,1728,1728,1767,1767
State,Tripura,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,2,0,0,0,0,0,2
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),0,0,6,8,139,88,3254,3074,3399,3170
Union Territory,A & N Islands,0,0,0,0,0,0,0,40,0,40
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,1,7,51,161,52,168
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,1,0,0,0,39,0,40
Union Territory,Total (UTs),0,0,0,1,1,7,51,240,52,248
Total (All-India),Total (All-India),0,0,6,9,140,95,3305,3314,3451,3418
