Crime Head,2004,2005,Percentage Variation in 2005 over 2004,Percentage Share of Arrestees under Each Crime during 2005
Arms Act,79154,77657,-1.9,2.2
Narcotic Drugs & Psychotropic Substances Act,32004,33895,5.9,1
Gambling Act,379306,388886,2.5,11.1
Excise Act,151532,165109,9,4.7
Prohibition Act,395423,340437,-13.9,9.8
Explosive & Explosive Substances Act,5214,5108,-2,0.1
Immoral Traffic (P) Act,11428,12665,10.8,0.4
Railways Act,22869,343,-98.5,0
Registration of Foreigners Act,1736,2798,61.2,0.1
Protection of Civil Rights Act - Total,558,635,13.8,0
Protection of Civil Rights Act - (i) PCR Act for SCs,551,584,6,0
Protection of Civil Rights Act - (ii) PCR Act for STs,7,51,628.6,0
Indian Passport Act,1169,1820,55.7,0.1
Essential Commodities Act,6701,10046,49.9,0.3
Terrorist & Disruptive Activities Act,75,178,137.3,0
Antiquity & Art Treasure Act,104,39,-62.5,0
Dowry Prohibition Act,6261,7197,14.9,0.2
Child Marriage Restraint Act,335,411,22.7,0
Indecent Representation of Women (P) Act,1700,2976,75.1,0.1
Copyrights Act,8577,8760,2.1,0.3
Sati Prevention Act - Total,0,18,NA,NA
SC/ST (Prevention of Atrocities) Act,17208,17074,-0.8,0.5
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,15412,15184,-1.5,0.4
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,1796,1890,5.2,0.1
Forest Act,6977,7646,9.6,0.2
Other SLL Crimes,3528598,2404201,-31.9,68.9
Total Cognizable Crimes under SLL,4656929,3487899,-25.1,100
