Category,States/ UTs,Total No.of Persons under Arrest including those from previous year,Number of Persons Released Before Trial,Number of Person Charge Sheeted,Number of Persons under investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1277,128,682,467,36.6,36.1
State,Arunachal Pradesh,51,20,23,8,15.7,0.6
State,Assam,289,23,137,129,44.6,10
State,Bihar,102,6,33,63,61.8,4.9
State,Chhattisgarh,772,3,754,15,1.9,1.2
State,Goa,0,0,0,0,0,0
State,Gujarat,566,0,553,13,2.3,1
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,9,0,6,3,33.3,0.2
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,466,78,241,147,31.5,11.4
State,Karnataka,530,14,475,41,7.7,3.2
State,Kerala,209,0,123,86,41.1,6.7
State,Madhya Pradesh,3060,3,2983,74,2.4,5.7
State,Maharashtra,655,6,493,156,23.8,12.1
State,Manipur,4,0,0,4,100,0.3
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,742,13,687,42,5.7,3.2
State,Punjab,0,0,0,0,0,0
State,Rajasthan,992,0,992,0,0,0
State,Sikkim,22,3,13,6,27.3,0.5
State,Tamil Nadu,53,0,42,11,20.8,0.9
State,Tripura,18,1,13,4,22.2,0.3
State,Uttar Pradesh,20,6,14,0,0,0
State,Uttaranchal,2,0,2,0,0,0
State,West Bengal,23,0,3,20,87,1.5
State,Total (States),9862,304,8269,1289,13.1,99.7
Union Territory,A & N Islands,2,0,2,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,5,0,1,4,80,0.3
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,1,0,1,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0
Union Territory,Total (UTs),8,0,4,4,50,0.3
Total (All-India),Total (All-India),9870,304,8273,1293,13.1,100
