Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of cases to Total cases for investigation in which Investigation was Refused (Col.3),Percentage of cases to Total cases for investigation in which Investigation was completed - Charge Found False/Mistake of Fact or Law Etc. (Col.4),Percentage of cases to Total cases for investigation in which Investigation was completed - Final Report True Submitted (Col.5),Percentage of cases to Total cases for investigation in which Investigation was completed - Charge Sheets were Submitted (Col.6),Percentage of cases to Total cases for investigation in which Investigation was completed - Total (Col.7) ={(Col.5) + (Col.6) + (Col.7)},No. of cases Pending Investigation at the end of the year (Col.8),Charge Sheeting Rate (Col.9) = (Col.7 / Col.6 + Col.7 × 100)
Murder,0,0.1,3.8,2.6,76.9,83.2,16.7,96.8
Rape,0,0,7.2,2.7,73.4,83.3,16.7,96.5
Kidnapping & Abduction,0.3,0,9.9,7.6,63.7,81.2,18.5,89.3
Dacoity,5.7,0,5.7,8.6,54.3,68.6,25.7,86.4
Robbery,0,0,5.9,16.8,49.5,72.3,27.7,74.6
Arson,0,0,14.4,8.5,50,72.9,27.1,85.5
Hurt,0,0.1,8,4,68.2,80.3,19.6,94.4
PCR. Act,0,0,16.3,2.6,52.2,71.1,28.9,95.3
SC/ST Prev. of Atrocities Act,0,0.2,11.1,4,50.7,65.7,34.1,92.7
Other Crimes Against SCs,0,0.2,12,3.6,67,82.6,17.2,94.9
Total,0,0.2,10.7,3.8,61.4,75.9,23.9,94.1
