Category,States/ UTs,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Subs.,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,3,2,72,0,48,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,851,1009
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,3,27
State,Chhattisgarh,10,6,319,54,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,1049,1451
State,Goa,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
State,Gujarat,0,2,100,0,563,0,12,0,0,0,0,0,0,0,0,0,0,2,0,23,0,8,7,1,0,210,920
State,Haryana,15,19,205,158,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,16,417
State,Himachal Pradesh,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11
State,Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Jharkhand,51,0,8,0,0,2,0,0,0,0,0,0,0,0,2,0,15,0,0,5,0,4,4,0,0,90,177
State,Karnataka,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,6
State,Kerala,2,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,74,84
State,Madhya Pradesh,84,6,305,142,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,7,20,0,135,705
State,Maharashtra,12,2,149,0,208,5,8,0,0,1,1,0,28,7,0,0,0,3,0,18,0,2,2,0,0,164,607
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
State,Mizoram,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,90
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,23,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,59
State,Punjab,3,2,2,9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,23
