Year,Estimated Mid-Year Population (In Lakhs)**,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes,Note of Incidence - SLL
1995,9160,1695696,4297476,5993172,185.1,469.2,654.3,28.3,NA
1996,9319,1709576,4586986,6296562,183.4,492.2,675.6,27.2,NA
1997,9552,1719820,4691439,6411259,180,491.1,671.2,26.8,NA
1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8,NA
1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9,NA
2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3,NA
2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1,#
2002,10506,1780330,3746198,5526528,169.5,356.6,526,32.2,NA
2003,10682,1716120,3778694,5494814,160.7,353.7,514.4,31.2,NA
2004,10856,1832015,4196766,6028781,168.8,386.6,555.3,30.4,NA
2005,11028,1822602,3203735,5026337,165.3,290.5,455.8,36.3,##
PERCENTAGE CHANGE IN 2005 OVER 1995,20.4,7.5,-25.5,-16.1,-10.7,-38.1,-30.3,28.2,NA
COMPOUND GROWTH RATE PER ANNUM,1.9,0.6,-2.4,-1.5,-1.3,-4.2,-3.3,2.1,NA
