Category,States/UTs/Cities,Tampering Computer Source Department (Sec. 65),Hacking - Loss / damage to computer resource / Utility (Sec. 66(1),Hacking (Sec. 66(2),Obscene Publication / Transmission In Electronic Form Sec. 67,Failure of compliance / orders of certifying Authority (Sec. 68),Failure to assist to decoy or the information in interception by Govt. Agency (Sec. 69),Unauthorised access / attempt to access of protected Computer system (Sec. 70),Obtaining Licence or Digital Signature by misrepre-sentation / supression of fact (Sec. 71),Publishing false digital Signature certificate (Sec. 73),Fraud Digital/Signature (Sec. 74),Breach of confidentiality/privacy (Sec. 72),Other,Total
State,Andhra Pradesh,2,3,9,0,0,0,0,0,0,0,0,0,14
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,1,0,0,0,0,0,0,0,0,1
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,17,0,0,0,0,0,1,0,0,18
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0,2
State,Haryana,0,3,0,2,1,0,0,0,0,0,2,0,8
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,4,0,24,10,0,0,0,0,0,0,0,0,38
State,Kerala,0,2,0,1,0,0,0,0,0,0,0,0,3
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,1,3,8,14,0,0,0,0,0,0,0,0,26
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,1,0,5,0,0,0,0,0,0,0,0,6
State,Punjab,0,0,0,6,0,0,0,0,0,0,1,0,7
State,Rajasthan,0,0,0,18,0,0,0,0,0,0,0,0,18
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,2,15,0,5,0,0,0,0,0,0,0,0,22
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,1,0,2,0,0,0,0,0,0,1,0,4
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),10,29,41,81,1,0,0,0,0,1,4,0,167
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,2,0,0,0,0,0,0,0,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,4,0,5,0,0,0,0,0,0,1,0,10
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,4,0,7,0,0,0,0,0,0,1,0,12
Total (All-India),Total (All-India),10,33,41,88,1,0,0,0,0,1,5,0,179
City,Agra,0,0,0,1,0,0,0,0,0,0,0,0,1
City,Ahmedabad,1,1,0,0,0,0,0,0,0,0,0,0,2
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,4,0,24,10,0,0,0,0,0,0,0,0,38
City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Chennai,1,15,0,4,0,0,0,0,0,0,0,0,20
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Delhi (city),0,4,0,5,0,0,0,0,0,0,1,0,10
City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,2,0,0,0,0,0,0,1,0,3
City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Mumbai,1,3,1,2,0,0,0,0,0,0,0,0,7
City,Nagpur,0,0,0,3,0,0,0,0,0,0,0,0,3
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Pune,0,5,0,4,0,0,0,0,0,0,0,0,9
City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vijayawada,0,0,0,1,0,0,0,0,0,0,0,0,1
City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Total (cities),7,28,25,32,0,0,0,0,0,0,2,0,94
