Category,States/UTs,Number of Death Reported,Number of Autopsy Conducted,Number of Magisterial Enquiry Ordered/ Conducted,Number of Judicial Enquiry Ordered/ Conducted,Number of Cases Regd. in Connection with Deaths,Number of Policemen Chargesheeted,Number of Policemen Convicted
State,Andhra Pradesh,11,11,1,0,11,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,10,4,10,0,0,0,0
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,1,1,1,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,1,0,0,0,0,2,0
State,Kerala,3,3,2,1,3,0,0
State,Madhya Pradesh,1,1,1,1,1,0,0
State,Maharashtra,8,8,0,0,1,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,2,2,2,2,2,0,0
State,Punjab,1,1,1,0,1,0,0
State,Rajasthan,4,4,4,0,1,1,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,3,2,2,0,3,0,0
State,Tripura,2,2,1,0,2,0,0
State,Uttar Pradesh,8,8,7,0,8,1,3
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,6,6,6,0,0,0,0
State,Total (States),61,53,38,4,33,4,3
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),61,53,38,4,33,4,3
