Crime Head,Incidence - Year - 1995,Rate of Crime - Year - 1995,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Year - 2001,Rate of Crime - Year - 2001,Incidence - Year - 2002,Rate of Crime - Year - 2002,Incidence - Year - 2003,Rate of Crime - Year - 2003,Incidence - Year - 2004,Rate of Crime - Year - 2004,Incidence - Quinquennial Avg. 2000-2004 (Q.A.),Rate of Crime - Quinquennial Avg. 2000-2004 (Q.A.),Incidence - 2005,Rate of Crime - 2005,Percentage Change in 2005 [(+) Increase/ (-) Decrease] over - 1995,Percentage Change in 2005 [(+) Increase/ (-) Decrease] over - Q.A,Percentage Change in 2005 [(+) Increase/ (-) Decrease] over - 2004,Note of - Incidence - Year - 1995,Note of - Rate of Crime - Year - 1995,Note of - Incidence - Year - 2000,Note of - Rate of Crime - Year - 2000,Note of - 2003,Note of - Incidence - Quinquennial Avg. 2000-2004 (Q.A.),Note of - Rate of Crime - Quinquennial Avg. 2000-2004 (Q.A.)
Murder,37464,4.1,37399,3.7,36202,3.5,35290,3.4,32716,3.1,33608,3.1,35043,3.4,32719,3,-12.7,-6.6,-2.6,NA,NA,NA,NA,NA,NA,NA
Attempt to Commit Murder,29571,3.2,30743,3.1,31523,3.1,30380,2.9,25942,2.4,27890,2.6,29296,2.8,28031,2.5,-5.2,-4.3,0.5,NA,NA,NA,NA,NA,NA,NA
C.H. Not Amounting to Murder,3830,0.4,3773,0.4,3367,0.3,3624,0.3,4029,0.4,3935,0.4,3746,0.4,3578,0.3,-6.6,-4.5,-9.1,NA,NA,NA,NA,NA,NA,NA
Rape - Total,13754,1.5,16496,1.6,16075,1.6,16373,1.6,15847,1.5,18233,1.7,16605,1.6,18359,1.7,33.5,10.6,0.7,NA,NA,NA,NA,NA,NA,NA
Rape - (i) Custodial Rape,NA,NA,NA,NA,0,0,3,0,0,0,2,0,NA,NA,7,0,NA,NA,250,*,*,*,*,@,*,*
Rape - (ii) Other Rape,NA,NA,NA,NA,16075,1.6,16370,1.6,15847,1.5,18231,1.7,NA,NA,18352,1.7,NA,NA,0.7,*,*,*,*,NA,*,*
Kidnapping & Abduction - Total,20426,2.2,22871,2.3,22487,2.2,21850,2.1,19992,1.9,23327,2.1,22105,2.1,22832,2.1,11.8,3.3,-2.1,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - (i) of Women & Girls,14063,1.5,15023,1.5,14645,1.4,14506,1.4,13296,1.2,15578,1.4,14610,1.4,15750,1.4,12,7.8,1.1,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction (ii) of Others,6363,0.7,7848,0.8,7842,0.8,7344,0.7,6696,0.6,7749,0.7,7496,0.7,7082,0.6,11.3,-5.5,-8.6,NA,NA,NA,NA,NA,NA,NA
Dacoity,8335,0.9,6825,0.7,6154,0.6,6101,0.6,5303,0.5,5311,0.5,5939,0.6,5141,0.5,-38.3,-13.4,-3.2,NA,NA,NA,NA,NA,NA,NA
Preparation & Assembly for Dacoity,961,0.1,1505,0.2,1614,0.2,1841,0.2,2302,0.2,2340,0.2,1920,0.2,2834,0.3,194.9,47.6,21.1,NA,NA,NA,NA,NA,NA,NA
Robbery,22443,2.5,20926,2.1,19901,1.9,18764,1.8,17512,1.6,18458,1.7,19112,1.8,17673,1.6,-21.3,-7.5,-4.3,NA,NA,NA,NA,NA,NA,NA
Burglary,116507,12.7,105391,10.5,101182,9.9,96461,9.2,92827,8.7,92490,8.5,97670,9.4,90108,8.2,-22.7,-7.7,-2.6,NA,NA,NA,NA,NA,NA,NA
Theft - Total,294306,32.1,258588,25.8,252803,24.6,247462,23.6,245237,23,273045,25.2,255427,24.4,273111,24.8,-7.2,6.9,0,NA,NA,NA,NA,NA,NA,NA
Theft - (i) Auto Theft,NA,NA,58415,5.8,63713,6.2,66668,6.3,69307,6.5,80682,7.4,67757,6.5,85709,7.8,NA,26.5,6.2,*,*,NA,NA,NA,NA,NA
Theft - (ii) Other Theft,NA,NA,200173,20,189090,18.4,180794,17.2,175930,16.5,192363,17.7,187670,18,187402,17,NA,-0.1,-2.6,*,*,NA,NA,NA,NA,NA
Riots,96520,10.5,80456,8,76222,7.4,68945,6.6,57334,5.4,59971,5.5,68586,6.6,56235,5.1,-41.7,-18,-6.2,NA,NA,NA,NA,NA,NA,NA
Criminal Breach of Trust,15503,1.7,14581,1.5,14798,1.4,14027,1.3,13432,1.3,14176,1.3,14203,1.4,13572,1.2,-12.5,-4.4,-4.3,NA,NA,NA,NA,NA,NA,NA
Cheating,30678,3.3,41701,4.2,44727,4.4,46271,4.4,47478,4.4,51939,4.8,46423,4.4,53625,4.9,74.8,15.5,3.2,NA,NA,NA,NA,NA,NA,NA
Counterfeiting,2203,0.2,2299,0.2,1683,0.2,1522,0.1,2055,0.2,1529,0.1,1818,0.2,2383,0.2,8.2,31.1,55.9,NA,NA,NA,NA,NA,NA,NA
Arson,12028,1.3,10392,1,10534,1,11820,1.1,9365,0.9,8637,0.8,10150,1,8451,0.8,-29.7,-16.7,-2.2,NA,NA,NA,NA,NA,NA,NA
Hurt,203812,22.2,240580,24,271487,26.4,265025,25.2,261444,24.5,276868,25.5,263081,25.1,270861,24.6,32.9,3,-2.2,NA,NA,NA,NA,NA,NA,NA
Dowry Deaths,4648,0.5,6995,0.7,6851,0.7,6822,0.6,6208,0.6,7026,0.6,6780,0.6,6787,0.6,46,0.1,-3.4,NA,NA,NA,NA,NA,NA,NA
Molestation,26856,2.9,32940,3.3,34124,3.3,33943,3.2,32939,3.1,34567,3.2,33703,3.2,34175,3.1,27.3,1.4,-1.1,NA,NA,NA,NA,NA,NA,NA
Sexual Harassment (Eve Teasing),4689,0.5,11024,1.1,9746,0.9,10155,1,12325,1.2,10001,0.9,10650,1,9984,0.9,112.9,-6.3,-0.2,NA,NA,NA,NA,NA,NA,NA
