Category,States/ UTs,Total No. of Cases ForInvestigation Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases in which Investigation was Refused,No. of Cases in which Investigation was completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in which Investigation was completed - Final Report True Submitted,No. of Cases in which Investigation was completed - Charge Sheets Were Submitted,No. of Cases in which Investigation was completed - Total {(Col.6) + (Col.7) + (Co.8)},No. of Cases Pending Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All India Total,Charge Sheeting Rate {(Col.8) / (Col.7+8) × 100}
State,ANDHRA PRADESH,518042,1,9,728,165,509922,510815,7217,1.4,3.4,100
State,ARUNACHAL PRADESH,139,0,0,0,30,48,78,61,43.9,0,61.5
State,ASSAM,6053,0,0,32,718,1075,1825,4228,69.8,2,60
State,BIHAR,17187,0,0,217,358,7499,8074,9113,53,4.2,95.4
State,CHHATTISGARH,236046,12,0,542,790,233922,235254,780,0.3,0.4,99.7
State,GOA,4376,0,0,0,17,3577,3594,782,17.9,0.4,99.5
State,GUJARAT,187636,0,4,73,536,167687,168296,19336,10.3,9,99.7
State,HARYANA,23643,0,0,104,324,21290,21718,1925,8.1,0.9,98.5
State,HIMACHAL PRADESH,5705,0,0,37,70,4360,4467,1238,21.7,0.6,98.4
State,JAMMU & KASHMIR,4496,0,0,62,562,1966,2590,1906,42.4,0.9,77.8
State,JHARKHAND,4795,0,2,113,516,2009,2638,2155,44.9,1,79.6
State,KARNATAKA,19306,8,956,380,464,14656,15500,2842,14.7,1.3,96.9
State,KERALA,69514,5,6,879,10528,50342,61749,7754,11.2,3.6,82.7
State,MADHYA PRADESH,228256,0,0,23,219,227646,227888,368,0.2,0.2,99.9
State,MAHARASHTRA,195573,69,914,205,560,144449,145214,49376,25.2,23,99.6
State,MANIPUR,1884,0,3,1,280,93,374,1507,80,0.7,24.9
State,MEGHALAYA,750,0,0,0,24,131,155,595,79.3,0.3,84.5
State,MIZORAM,1308,0,0,0,8,744,752,556,42.5,0.3,98.9
State,NAGALAND,968,291,0,0,218,356,574,103,10.6,0,62
State,ORISSA,14453,0,9,115,71,12193,12379,2065,14.3,1,99.4
State,PUNJAB,35726,0,11,156,559,26882,27597,8118,22.7,3.8,98
State,RAJASTHAN,31649,0,0,710,236,30180,31126,523,1.7,0.2,99.2
State,SIKKIM,396,0,0,0,3,226,229,167,42.2,0.1,98.7
State,TAMIL NADU,604184,1220,59939,69471,146926,266472,482869,60156,10,28,64.5
State,TRIPURA,269,0,0,0,19,183,202,67,24.9,0,90.6
State,UTTAR PRADESH,1014801,0,0,483,3021,1004231,1007735,7066,0.7,3.3,99.7
State,UTTARANCHAL,127255,0,0,19,84,126622,126725,530,0.4,0.2,99.9
State,WEST BENGAL,22841,0,3,460,1502,12922,14884,7954,34.8,3.7,89.6
State,TOTAL (STATES),3377251,1606,61856,74810,168808,2871683,3115301,198488,5.9,92.4,94.4
Union Territory,A & N ISLANDS,8667,0,0,0,0,7052,7052,1615,18.6,0.8,100
Union Territory,CHANDIGARH,943,0,0,4,4,714,722,221,23.4,0.1,99.4
Union Territory,D & N HAVELI,38,0,0,0,0,23,23,15,39.5,0,100
Union Territory,DAMAN & DIU,6,0,0,0,0,6,6,0,0,0,100
Union Territory,DELHI,38252,0,0,1,70,23696,23767,14485,37.9,6.7,99.7
Union Territory,LAKSHADWEEP,12,0,0,0,1,2,3,9,75,0,66.7
Union Territory,PONDICHERRY,1277,0,9,9,5,1188,1202,66,5.2,0,99.6
Union Territory,TOTAL (UTs),49195,0,9,14,80,32681,32775,16411,33.4,7.6,99.8
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),3426446,1606,61865,74824,168888,2904364,3148076,214899,6.3,100,94.5
