Category,States/ UTs,Number of Deaths in Police Custody During Hospitalisation / Treatment,Number of Deaths in Police Custody Due to Accidents,Number of Deaths in Police Custody by Mob Attack/Riot,Number of Deaths in Police Custody by Other Criminals,Number of Deaths in Police Custody by Suicide,Number of Deaths in Police Custody while Escaping from Custody,Number of Deaths in Police Custody Illness/Natural Death
State,Andhra Pradesh,24,12,0,0,4,0,13
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0
State,Goa,1,0,0,0,0,0,1
State,Gujarat,5,0,0,1,5,2,7
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,1
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,1,0,0,0,1,0,1
State,Kerala,1,0,0,0,1,0,0
State,Madhya Pradesh,1,0,0,0,0,0,1
State,Maharashtra,3,0,0,1,11,1,1
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,1,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,1,0,0,0,1,0,1
State,Punjab,0,0,0,0,1,0,0
State,Rajasthan,3,0,0,0,1,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,2,0,0,0,1,0,0
State,Tripura,1,0,0,0,1,0,0
State,Uttar Pradesh,0,2,0,2,2,0,2
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,6,0,0,0,1,0,0
State,Total (States),49,15,0,4,30,3,28
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),49,15,0,4,30,3,28
