Year,7-12 Years,7-12 Years - Percentage Share to Total,12-16 Years,12-16 Years - Percentage Share to Total,16-18 Years,16-18 Years - Percentage Share to Total,Total Apprehended
1995,3377,18,12013,63.9,3403,18.1,18793
1996,3490,18.3,11397,59.6,4230,22.1,19098
1997,2747,15.4,12171,68.4,2878,16.2,17796
1998,3336,17.6,11548,61,4039,21.3,18923
1999,4039,21.9,10311,55.9,4110,22.3,18460
2000,3292,18.3,11389,63.3,3301,18.4,17982
2001,3696,11,12729,37.9,17203,51.2,33628
2002,4488,12.5,13864,38.7,17427,48.7,35779
2003,3584,10.8,11687,35.1,18049,54.2,33320
2004,2107,6.8,12415,40.1,16421,53.1,30943
2005,1645,5,13090,40.1,17946,54.9,32681
Percentage change in 2005 over 1995,-51.3,NA,9,NA,427.4,NA,73.9
Percentage change in 2005 over 2004,-21.9,NA,5.4,NA,9.3,NA,5.6
