Purpose,Total No.of Cases Reported,Sex-wise/Age Group-wise upto 10 Years - Male,Sex-wise/Age Group-wise upto 10 Years - Female,Sex-wise/Age Group-wise 10 - 15 Years - Male,Sex-wise/Age Group-wise 10 - 15 Years - Female,Sex-wise/Age Group-wise 15 - 18 Years - Male,Sex-wise/Age Group-wise 15 - 18 Years - Female,Sex-wise/Age Group-wise 18 - 30 Years - Male,Sex-wise/Age Group-wise 18 - 30 Years - Female,Sex-wise/Age Group-wise 30- 50 Years - Male,Sex-wise/Age Group-wise 30- 50 Years - Female,Sex-wise/Age Group-wise above 50 Years - Male,Sex-wise/Age Group-wise above 50 Years - Female,Sex-wise/Age Group-wise Total - Male,Sex-wise/Age Group-wise Total - Female,Grand Total
For Adoption,110,8,3,1,12,2,15,25,27,15,3,0,0,51,60,111
For Begging,18,6,6,4,3,0,0,6,0,0,1,0,0,16,10,26
For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Illicit Intercourse,2114,2,11,4,156,0,328,12,1281,24,300,0,1,42,2077,2119
For Marriage,9825,0,5,1,455,1,1231,108,7017,84,964,8,1,202,9673,9875
For Prostitution,136,0,0,0,33,0,84,0,122,0,10,0,0,0,249,249
For Ransom,813,59,6,55,3,52,3,363,43,219,14,28,0,776,69,845
For Revenge,490,11,15,7,4,26,12,177,64,141,26,17,0,379,121,500
For Sale,55,5,1,0,0,0,3,0,40,0,6,0,0,5,50,55
For Selling Body Parts,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
For Slavery,26,0,0,0,0,3,1,17,0,7,0,0,0,27,1,28
For Unlawaful Activity,609,15,11,14,3,6,9,307,105,142,10,7,0,491,138,629
Others,8633,147,93,160,177,200,260,3200,2112,1703,489,120,32,5530,3163,8693
Total,22832,253,151,246,846,290,1949,4215,10811,2335,1823,180,34,7519,15614,23133
