Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Trial Including Pending Cases from previous year (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases Compounded or Withdrawn (Col.5),No. of Cases in which Trials were completed - Convicted (Col.6),No. of Cases in which Trials were completed - Acquitted or Discharged (Col.7),No. of Cases in which Trials were completed - Total {(Col.6)+(Col.7)} (Col.8),No. of Cases Pending trial at the end of the year (Col.9),Pendency Percentage (Col.10),Percentage of Pendency to All India Total (Col.11),Conviction Rate {(Col.6)/(Col.8)} × 100 (Col.12)
State,ANDHRA PRADESH,336188,27,25718,30614,50658,81272,229198,68.2,3.9,37.7
State,ARUNACHAL PRADESH,14029,0,173,402,304,706,13150,93.7,0.2,56.9
State,ASSAM,94791,0,2302,3690,16398,20088,72401,76.4,1.2,18.4
State,BIHAR,458363,0,2693,7258,40463,47721,407949,89,7,15.2
State,CHHATTISGARH,160245,0,4255,11085,9184,20269,135721,84.7,2.3,54.7
State,GOA,6699,1,58,267,692,959,5682,84.8,0.1,27.8
State,GUJARAT,729906,0,3724,16678,37327,54005,672177,92.1,11.5,30.9
State,HARYANA,140218,19,240,10758,17153,27911,112067,79.9,1.9,38.5
State,HIMACHAL PRADESH,51403,2,1462,1793,6305,8098,41843,81.4,0.7,22.1
State,JAMMU & KASHMIR,69202,0,1885,4071,5591,9662,57655,83.3,1,42.1
State,JHARKHAND,99994,65,2072,4061,12403,16464,81458,81.5,1.4,24.7
State,KARNATAKA,276582,5,9122,22511,52522,75033,192427,69.6,3.3,30
State,KERALA,368859,120,6540,42525,40572,83097,279222,75.7,4.8,51.2
State,MADHYA PRADESH,710127,11742,52362,53764,52709,106473,551292,77.6,9.5,50.5
State,MAHARASHTRA,1148076,84,9627,7816,58762,66578,1071871,93.4,18.4,11.7
State,MANIPUR,2732,0,13,57,41,98,2621,95.9,0,58.2
State,MEGHALAYA,7891,0,69,209,252,461,7361,93.3,0.1,45.3
State,MIZORAM,3278,0,121,335,103,438,2719,82.9,0,76.5
State,NAGALAND,3518,0,5,1195,964,2159,1354,38.5,0,55.3
State,ORISSA,270378,0,42,3998,22812,26810,243526,90.1,4.2,14.9
State,PUNJAB,82049,0,350,4338,8163,12501,69198,84.3,1.2,34.7
State,RAJASTHAN,472639,18,20599,37195,26882,64077,387963,82.1,6.7,58
State,SIKKIM,472,0,35,90,99,189,248,52.5,0,47.6
State,TAMIL NADU,336132,59,1724,89979,54605,144584,189824,56.5,3.3,62.2
State,TRIPURA,8366,0,0,418,1989,2407,5959,71.2,0.1,17.4
State,UTTAR PRADESH,499951,2,8464,49025,34590,83615,407872,81.6,7,58.6
State,UTTARANCHAL,22093,8,511,1937,1315,3252,18330,83,0.3,59.6
State,WEST BENGAL,400016,0,1166,3691,18703,22394,376456,94.1,6.5,16.5
State,TOTAL (STATES),6774197,12152,155332,409760,571561,981321,5637544,83.2,96.8,41.8
Union Territory,A & N ISLANDS,3921,0,0,53,46,99,3822,97.5,0.1,53.5
Union Territory,CHANDIGARH,7013,0,0,573,323,896,6117,87.2,0.1,64
Union Territory,D & N HAVELI,1838,0,0,6,160,166,1672,91,0,3.6
Union Territory,DAMAN & DIU,723,0,7,13,58,71,645,89.2,0,18.3
Union Territory,DELHI,196101,0,0,17508,10694,28202,167899,85.6,2.9,62.1
Union Territory,LAKSHADWEEP,67,0,0,5,6,11,56,83.6,0,45.5
Union Territory,PONDICHERRY,7648,0,177,2173,301,2474,4997,65.3,0.1,87.8
Union Territory,TOTAL (UTs),217311,0,184,20331,11588,31919,185208,85.2,3.2,63.7
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),6991508,12152,155516,430091,583149,1013240,5822752,83.3,100,42.4
